"Регион";"Дата";"Маркер";"Запросов на млн"
Калининградская область;23.09.2021;как не заразиться;0
Калининградская область;09.08.2022;что делать если не едет скорая;0.9010129187232288
Калининградская область;19.05.2020;что делать дома;36.19250986484003
Калининградская область;02.12.2021;лечение коронавируса;136.46989313604604
Калининградская область;02.06.2022;что делать дома;1.7794575857387152
Калининградская область;12.05.2022;лечение коронавируса;21.2481142298621
Калининградская область;27.11.2021;купить маску и респиратор;7.4473264563479615
Калининградская область;18.04.2021;как не заразиться;0
Калининградская область;08.06.2021;пропало обоняние;42.43501548878065
Калининградская область;25.05.2020;вторая волна;11.661758126655174
Калининградская область;22.06.2021;купить маску и респиратор;7.289054755379322
Калининградская область;29.01.2021;антитела;302.9584414146279
Калининградская область;08.06.2022;вторая волна;0
Калининградская область;27.04.2021;что делать дома;8.570551926402956
Калининградская область;09.10.2020;пульсоксиметр и сатурация;114.80495093509201
Калининградская область;29.12.2020;купить антисептик;0
Калининградская область;18.08.2020;доставка еды на дом;63.2988603903353
Калининградская область;17.09.2020;что делать дома;3.197970354814811
Калининградская область;25.09.2020;сдать тест;276.63661888576917
Калининградская область;14.01.2022;вторая волна;0
Калининградская область;15.07.2021;что делать если не едет скорая;0
Калининградская область;24.01.2022;пульсоксиметр и сатурация;120.11481426375043
Калининградская область;18.05.2021;как не заразиться;0
Калининградская область;02.03.2021;пропало обоняние;39.38028872475099
Калининградская область;29.11.2020;купить антисептик;1.0707176913613428
Калининградская область;07.12.2020;что делать дома;0.9517718184171654
Калининградская область;24.03.2022;сделать КТ;1.7186693031053775
Калининградская область;09.07.2021;сделать КТ;7.326551737491744
Калининградская область;21.04.2020;антитела;96.21376360368201
Калининградская область;15.03.2020;симптомы коронавируса;1532.1445388074158
Калининградская область;19.09.2021;что делать дома;0.9518723805661927
Калининградская область;21.09.2020;доставка еды на дом;39.22300291310303
Калининградская область;02.07.2020;купить маску и респиратор;4.891901212946906
Калининградская область;24.04.2021;сдать тест;129.25884240824985
Калининградская область;07.01.2022;сдать тест;186.13561142639986
Калининградская область;23.01.2021;что делать дома;5.457836033506747
