"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Нигерия;16.01.2022;250929;"";3103;301;"";8
Соломоновы острова;06.07.2022;21544;"";153;0;"";0
Норвегия;25.05.2022;1432335;"";3141;344;"";47
США;20.05.2022;83318708;"";1004163;149260;"";415
Уругвай;23.06.2022;951948;"";7312;0;"";0
Исландия;25.03.2022;178385;"";97;1370;"";2
Папский Престол;20.06.2022;29;"";0;0;"";0
Эквадор;25.02.2022;827760;"";35223;0;"";0
Монголия;19.01.2022;756393;"";2016;9071;"";0
Узбекистан;02.03.2022;236596;"";1637;95;"";1
Сербия;20.06.2022;2022902;"";16112;408;"";3
Камерун;14.01.2022;109666;"";1853;0;"";0
Судан;27.01.2022;57106;"";3422;511;"";11
Косово и Метохия;23.04.2022;227953;"";3138;18;"";0
Джибути;21.02.2022;15542;"";189;0;"";0
Гренада;22.01.2022;11190;"";205;230;"";0
Колумбия;26.03.2022;6083291;"";139558;348;"";14
Киргизия;06.06.2022;200993;"";2991;0;"";0
Summer Olympics 2020;11.01.2022;865;"";0;0;"";0
Парагвай;27.01.2022;559906;"";17176;5724;"";64
Марокко;09.07.2022;1240847;"";16151;2476;"";4
Сент-Люсия;14.04.2022;23050;"";365;5;"";0
Гондурас;11.03.2022;414714;"";10812;0;"";0
Бельгия;18.03.2022;3696059;"";30510;0;"";0
ОАЭ;03.02.2022;851537;"";2253;2232;"";2
Италия;19.06.2022;17879160;"";167721;34255;"";18
Мальдивы;19.06.2022;179979;"";299;0;"";0
Иордания;02.03.2022;1638228;"";13849;0;"";0
Фиджи;10.02.2022;63398;"";816;0;"";0
Австралия;25.07.2022;9185736;"";11300;49626;"";115
Албания;03.02.2022;261240;"";3362;0;"";0
Сент-Китс и Невис;19.02.2022;5523;"";42;5;"";0
Эфиопия;03.02.2022;466126;"";7353;334;"";7
Сьерра-Леоне;04.01.2022;7268;"";123;48;"";0
Того;21.03.2022;36882;"";272;4;"";0
Индия;04.06.2022;43176817;"";524692;4270;"";15
Непал;28.07.2022;985417;"";11962;524;"";2
Новая Зеландия;18.04.2022;835090;"";585;0;"";0
Нидерланды;14.05.2022;8167219;"";22903;1327;"";2
Нигер;08.04.2022;8822;"";308;0;"";0
Ботсвана;28.07.2022;325470;"";2770;289;"";7
Гамбия;09.03.2022;11963;"";365;0;"";0
Япония;21.02.2022;4542657;"";22017;51909;"";173
Тонга;21.06.2022;12079;"";12;0;"";0
Бахрейн;21.06.2022;609553;"";1491;2078;"";0
Германия;28.04.2022;24710769;"";135292;101610;"";214
Доминика;20.02.2022;10801;"";57;0;"";0
Украина;13.07.2022;5288579;"";116399;34;"";1
Кипр;05.01.2022;188380;"";650;5202;"";4
Эсватини;07.07.2022;73185;"";1417;8;"";1
Алжир;10.02.2022;260191;"";6690;518;"";12
Турция;13.06.2022;15078186;"";98976;0;"";0
Гвинея-Бисау;19.03.2022;8113;"";169;17;"";0
Мальта;21.01.2022;65311;"";521;306;"";1
Вануату;11.05.2022;8117;"";14;54;"";0
Либерия;21.05.2022;7455;"";294;0;"";0
Гренада;13.02.2022;13255;"";213;13;"";0
Джибути;19.03.2022;15573;"";189;0;"";0
Лесото;14.07.2022;34040;"";702;0;"";0
Киргизия;16.06.2022;201016;"";2991;0;"";0
Колумбия;21.04.2022;6090520;"";139759;274;"";4
Summer Olympics 2020;01.06.2022;865;"";0;0;"";0
Косово и Метохия;19.05.2022;228273;"";3139;12;"";0
Судан;02.02.2022;58623;"";3533;415;"";91
Сент-Люсия;23.03.2022;22905;"";365;13;"";0
Гондурас;01.03.2022;412733;"";10778;1521;"";58
Марокко;15.07.2022;1248856;"";16173;2021;"";6
Парагвай;02.02.2022;594430;"";17426;5112;"";40
Папский Престол;25.05.2022;29;"";0;0;"";0
Исландия;20.04.2022;183701;"";112;0;"";0
Нигерия;11.02.2022;253923;"";3139;48;"";0
Соломоновы острова;12.07.2022;21544;"";153;0;"";0
Уругвай;28.05.2022;916388;"";7227;0;"";0
США;28.04.2022;81345645;"";995483;77371;"";410
Норвегия;20.06.2022;1440517;"";3250;766;"";0
Узбекистан;20.04.2022;238367;"";1637;46;"";0
Монголия;10.02.2022;864564;"";2062;1192;"";3
Эквадор;07.03.2022;841575;"";35309;5359;"";45
Грузия;14.03.2022;1635975;"";16569;466;"";15
Шри-Ланка;26.04.2022;663239;"";16503;44;"";1
Монако;16.03.2022;9964;"";53;63;"";1
Индонезия;14.07.2022;6123753;"";156827;3584;"";9
Палау;22.06.2022;5193;"";6;0;"";0
Канада;28.07.2022;4084973;"";42905;9996;"";128
Судно "Diamond Princess";24.03.2022;712;"";13;0;"";0
Болгария;27.06.2022;1170686;"";37247;595;"";1
Западный берег реки Иордан;24.04.2022;656876;"";5657;0;"";0
Гайана;06.02.2022;61600;"";1181;196;"";1
Korea, North;26.07.2022;1;"";6;0;"";0
Winter Olympics 2022;16.06.2022;535;"";0;0;"";0
Мьянма;28.03.2022;611021;"";19430;163;"";0
Хорватия;09.05.2022;1127799;"";15896;57;"";8
Мексика;03.03.2022;5534086;"";318835;12342;"";304
Мали;28.01.2022;29983;"";711;34;"";0
Гвинея-Бисау;21.02.2022;7907;"";166;0;"";0
Алжир;19.01.2022;228918;"";6443;1359;"";8
Мальта;14.05.2022;93446;"";713;86;"";0
Швеция;24.07.2022;2533978;"";19249;0;"";0
Либерия;29.04.2022;7434;"";294;0;"";0
Панама;24.06.2022;912348;"";8340;1826;"";5
Вануату;01.05.2022;7507;"";13;177;"";0
Экваториальная Гвинея;27.07.2022;16708;"";183;4;"";0
Бахрейн;30.05.2022;585082;"";1488;516;"";1
Тонга;30.05.2022;11644;"";12;8;"";1
Япония;13.04.2022;7179839;"";28836;57666;"";67
Польша;26.07.2022;6054743;"";116524;5103;"";14
Маврикий;15.01.2022;69666;"";786;109;"";0
Эсватини;17.07.2022;73242;"";1417;0;"";0
Германия;20.05.2022;26040460;"";138324;42375;"";120
Украина;03.07.2022;5287122;"";116367;27;"";0
Доминика;14.03.2022;11529;"";62;27;"";0
Нигер;29.03.2022;8801;"";308;0;"";0
Новая Зеландия;27.03.2022;612082;"";365;13080;"";92
Россия;01.08.2022;18341459;"";374719;10673;"";36
Нидерланды;21.01.2022;3907184;"";21702;46912;"";13
Индия;10.06.2022;43213435;"";524757;8329;"";10
Того;16.04.2022;36962;"";273;0;"";1
Гамбия;28.03.2022;11986;"";365;0;"";0
Мальдивы;24.05.2022;179662;"";298;0;"";0
Иордания;12.03.2022;1654677;"";13882;0;"";0
Бельгия;24.02.2022;3537675;"";30101;8634;"";25
ОАЭ;24.01.2022;828328;"";2219;2629;"";5
Австралия;29.06.2022;8130927;"";9897;49061;"";84
Micronesia;04.01.2022;1;"";0;0;"";0
Эфиопия;24.01.2022;462514;"";7265;407;"";21
Сент-Китс и Невис;13.03.2022;5540;"";42;0;"";0
Албания;24.01.2022;248070;"";3305;0;"";0
Фиджи;19.01.2022;60509;"";752;724;"";6
Кирибати;10.03.2022;3010;"";13;4;"";0
ДР Конго;04.02.2022;85510;"";1278;0;"";0
Ямайка;25.07.2022;145738;"";3184;105;"";2
Южный Судан;02.05.2022;17483;"";138;22;"";0
Республика Конго;24.07.2022;24604;"";386;0;"";0
Южная Корея;29.04.2022;17237878;"";22794;43262;"";70
Тринидад и Тобаго;13.07.2022;168617;"";4033;190;"";2
ЮАР;19.06.2022;3986601;"";101604;1955;"";15
Дания;11.06.2022;3190021;"";6453;0;"";0
Словения;06.06.2022;1026372;"";6642;80;"";0
Габон;06.01.2022;42640;"";290;0;"";0
Венгрия;07.04.2022;1865607;"";45684;2568;"";37
Португалия;19.02.2022;3274118;"";20796;16745;"";37
Намибия;28.03.2022;157615;"";4019;4;"";0
Перу;15.02.2022;3456789;"";208622;7077;"";156
Малави;09.05.2022;85811;"";2634;0;"";0
Армения;21.01.2022;349957;"";8026;628;"";0
Австрия;28.01.2022;1735230;"";17154;35761;"";10
Кения;03.03.2022;323025;"";5640;23;"";0
Белиз;15.07.2022;65994;"";680;154;"";0
Доминиканская Республика;26.07.2022;626611;"";4383;0;"";0
Бразилия;11.05.2022;30617786;"";664750;23398;"";126
Папуа — Новая Гвинея;18.05.2022;44394;"";651;0;"";0
Таджикистан;01.07.2022;17786;"";125;0;"";0
Северная Македония;31.05.2022;311936;"";9303;85;"";0
Китай;02.04.2022;1438175;"";13552;14188;"";116
Египет;10.03.2022;494519;"";24269;861;"";12
Финляндия;01.01.2022;277700;"";1728;6871;"";14
Ирак;23.06.2022;2335436;"";25229;1061;"";0
Израиль;19.07.2022;4525442;"";11208;6935;"";27
Ангола;14.02.2022;98514;"";1898;0;"";0
Греция;24.04.2022;3277557;"";28867;0;"";0
Эритрея;10.05.2022;9738;"";103;0;"";0
Багамские острова;12.03.2022;33194;"";771;3;"";0
Румыния;29.04.2022;2892989;"";65478;1016;"";7
Афганистан;05.01.2022;158245;"";7367;40;"";2
Гвинея;27.03.2022;36459;"";440;0;"";0
Коста-Рика;04.01.2022;575871;"";7366;5315;"";13
Вьетнам;18.04.2022;10475819;"";42957;43272;"";13
Кот-д’Ивуар;26.02.2022;81467;"";792;18;"";0
Малайзия;02.02.2022;2882060;"";31992;5736;"";7
Азербайджан;05.07.2022;793388;"";9717;0;"";0
Чили;17.06.2022;3870747;"";58194;13104;"";23
Великобритания;19.05.2022;22416204;"";178547;13812;"";169
Marshall Islands;22.01.2022;7;"";0;0;"";0
Черногория;07.03.2022;231011;"";2686;53;"";1
Сан-Томе и Принсипи;18.06.2022;6010;"";73;0;"";0
Оман;23.01.2022;322438;"";4128;4166;"";3
Сомали;17.05.2022;26518;"";1361;0;"";0
Замбия;17.02.2022;310474;"";3941;319;"";2
Канада;02.07.2022;3967805;"";41982;4042;"";14
Кабо-Верде;10.07.2022;61623;"";409;31;"";0
Мадагаскар;26.02.2022;63659;"";1366;226;"";16
Пакистан;20.07.2022;1548394;"";30455;599;"";3
Сан-Марино;30.01.2022;12462;"";109;0;"";0
Ливия;05.03.2022;497279;"";6288;0;"";0
Лихтенштейн;27.04.2022;17133;"";84;7;"";-1
Саудовская Аравия;08.02.2022;715974;"";8959;3330;"";2
Непал;13.03.2022;977937;"";11950;59;"";0
Йемен;19.03.2022;11799;"";2140;2;"";0
Ботсвана;13.03.2022;263950;"";2619;0;"";0
Катар;10.06.2022;371585;"";677;338;"";0
Бельгия;31.07.2022;4414255;"";32228;0;"";0
Ливан;09.01.2022;774180;"";9283;4780;"";16
Зимбабве;30.01.2022;229460;"";5337;45;"";4
Сирия;28.04.2022;55810;"";3150;3;"";0
Литва;19.04.2022;1140601;"";9029;477;"";3
Мавритания;29.01.2022;58129;"";949;88;"";4
Куба;06.04.2022;1094352;"";8517;676;"";1
Швейцария;28.04.2022;3619598;"";13710;0;"";9
Беларусь;16.07.2022;994037;"";7118;0;"";0
Сингапур;18.04.2022;1162780;"";1316;2480;"";0
Бенин;19.01.2022;26309;"";163;273;"";1
Бруней;15.02.2022;24659;"";98;667;"";0
Иран;15.04.2022;7204049;"";140777;1994;"";33
Экваториальная Гвинея;20.02.2022;15870;"";182;0;"";0
Сент-Винсент и Гренадины;24.03.2022;8330;"";106;0;"";0
Босния и Герцеговина;30.05.2022;377878;"";15787;49;"";0
Гватемала;24.01.2022;670489;"";16272;659;"";4
Андорра;01.05.2022;41349;"";153;0;"";0
Молдавия;19.01.2022;396678;"";10470;3255;"";8
Боливия;30.05.2022;908862;"";21948;203;"";1
Кувейт;21.05.2022;632474;"";2555;0;"";0
Филиппины;09.05.2022;3687197;"";60439;179;"";0
ЦАР;26.04.2022;14649;"";113;0;"";0
Антигуа и Барбуда;20.06.2022;8581;"";140;0;"";0
Самоа;22.02.2022;33;"";0;0;"";0
Восточный Тимор;19.05.2022;22890;"";131;0;"";0
Россия;28.06.2022;18155165;"";373297;2513;"";57
Сенегал;09.05.2022;86016;"";1966;4;"";0
Никарагуа;20.01.2022;13646;"";219;0;"";0
Бангладеш;30.05.2022;1953481;"";29131;34;"";1
Аргентина;15.02.2022;8766174;"";124585;18573;"";236
Marshall Islands;13.02.2022;7;"";0;0;"";0
Сан-Томе и Принсипи;27.05.2022;5982;"";73;0;"";0
Малайзия;27.01.2022;2850408;"";31940;5439;"";10
Черногория;22.03.2022;232376;"";2696;127;"";0
Кот-д’Ивуар;08.03.2022;81559;"";795;3;"";0
Вьетнам;27.03.2022;9011473;"";42306;91916;"";48
Великобритания;24.01.2022;16062685;"";154430;95491;"";56
Чили;26.05.2022;3665862;"";57851;8674;"";16
Азербайджан;11.07.2022;793388;"";9717;0;"";0
Кабо-Верде;16.07.2022;61913;"";409;137;"";0
Сомали;26.01.2022;25388;"";1335;0;"";0
Оман;14.02.2022;367679;"";4211;1979;"";3
Мадагаскар;16.04.2022;64089;"";1390;0;"";0
Замбия;09.04.2022;317483;"";3967;0;"";0
Ирак;28.05.2022;2327837;"";25219;60;"";0
Египет;27.03.2022;500889;"";24361;0;"";0
Израиль;27.06.2022;4316205;"";10942;14605;"";2
Ангола;06.05.2022;99287;"";1900;0;"";0
Греция;02.02.2022;1984544;"";23721;18825;"";113
Афганистан;30.05.2022;180259;"";7701;85;"";0
Румыния;21.05.2022;2905859;"";65651;320;"";7
Багамские острова;02.03.2022;33150;"";771;4;"";0
Эритрея;30.04.2022;9734;"";103;0;"";0
Гвинея;10.03.2022;36427;"";440;0;"";0
Доминиканская Республика;30.06.2022;605784;"";4383;0;"";0
Австрия;07.02.2022;2067085;"";17339;29980;"";25
Армения;16.02.2022;410155;"";8229;1774;"";28
Белиз;09.07.2022;64948;"";680;0;"";0
Кения;09.03.2022;323129;"";5641;14;"";0
Китай;12.04.2022;1680744;"";14378;26619;"";59
Северная Македония;22.06.2022;313160;"";9322;110;"";0
Таджикистан;23.07.2022;17786;"";125;0;"";0
Бразилия;01.05.2022;30454499;"";663752;6263;"";16
Папуа — Новая Гвинея;22.04.2022;43732;"";649;0;"";0
Дания;01.06.2022;3184171;"";6417;646;"";5
ЮАР;24.05.2022;3935761;"";101002;4227;"";50
Тринидад и Тобаго;03.07.2022;167495;"";4013;55;"";0
Словения;16.06.2022;1029887;"";6645;472;"";0
Южный Судан;08.05.2022;17492;"";138;0;"";0
ДР Конго;25.01.2022;84760;"";1278;241;"";0
Кирибати;04.03.2022;2974;"";11;10;"";0
Республика Конго;02.07.2022;24128;"";385;0;"";0
Южная Корея;21.05.2022;17957697;"";23965;19298;"";54
Португалия;07.04.2022;3803856;"";21827;11280;"";14
Намибия;19.04.2022;158112;"";4022;38;"";0
Малави;18.01.2022;82975;"";2480;183;"";6
Венгрия;01.04.2022;1854198;"";45510;2327;"";40
Перу;20.01.2022;2780049;"";203868;56883;"";118
Руанда;12.07.2022;131734;"";1462;43;"";1
Восточный Тимор;23.04.2022;22860;"";130;0;"";0
Антигуа и Барбуда;25.05.2022;8062;"";138;80;"";0
Самоа;20.03.2022;111;"";0;51;"";0
Сенегал;03.05.2022;86007;"";1966;2;"";0
Филиппины;03.05.2022;3686216;"";60412;134;"";2
ЦАР;22.05.2022;14649;"";113;0;"";0
Аргентина;20.01.2022;7576335;"";118809;129709;"";181
Мозамбик;11.01.2022;212859;"";2099;1868;"";3
Никарагуа;15.02.2022;13792;"";222;0;"";0
Доминика;27.07.2022;14852;"";68;0;"";0
Бангладеш;21.06.2022;1958074;"";29133;874;"";2
Иран;24.03.2022;7145877;"";139865;1345;"";63
Бруней;05.05.2022;142312;"";218;146;"";0
Бенин;10.02.2022;26498;"";163;0;"";0
Сингапур;27.03.2022;1067157;"";1250;0;"";4
Молдавия;10.02.2022;477419;"";10866;2871;"";29
Боливия;21.06.2022;916092;"";21952;0;"";0
Сент-Винсент и Гренадины;15.04.2022;8348;"";106;0;"";0
Экваториальная Гвинея;14.03.2022;15898;"";183;3;"";0
Кувейт;30.01.2022;539654;"";2496;5592;"";2
Гватемала;03.02.2022;702310;"";16446;3925;"";25
Босния и Герцеговина;21.06.2022;378301;"";15797;6;"";0
Андорра;11.05.2022;41717;"";153;0;"";0
Сирия;20.05.2022;55877;"";3150;2;"";0
Зимбабве;05.02.2022;230402;"";5362;232;"";5
Сент-Китс и Невис;28.07.2022;6453;"";46;11;"";0
Мавритания;22.05.2022;59025;"";982;22;"";0
Швейцария;20.05.2022;3659937;"";13791;0;"";0
Куба;31.03.2022;1090285;"";8510;833;"";0
Литва;28.03.2022;1100399;"";8856;1285;"";16
Беларусь;10.07.2022;994037;"";7118;0;"";0
Латвия;13.07.2022;843035;"";5871;908;"";0
Лихтенштейн;23.05.2022;17407;"";84;15;"";0
Гаити;05.01.2022;26259;"";774;46;"";1
Ливия;27.02.2022;493548;"";6250;1394;"";9
Непал;19.02.2022;975330;"";11917;198;"";4
Саудовская Аравия;29.01.2022;679384;"";8933;3913;"";2
Сан-Марино;05.02.2022;13328;"";109;0;"";0
Пакистан;28.06.2022;1535144;"";30393;541;"";1
Катар;04.06.2022;369526;"";677;0;"";0
Ботсвана;19.02.2022;261913;"";2608;0;"";0
Йемен;21.02.2022;11741;"";2123;5;"";1
Эстония;29.05.2022;576047;"";2561;0;"";0
Перу;30.03.2022;3546696;"";212207;613;"";28
Грузия;10.06.2022;1658240;"";16835;0;"";0
Венгрия;22.01.2022;1401457;"";40822;0;"";0
Намибия;01.02.2022;155942;"";3969;43;"";2
Монако;12.06.2022;12489;"";57;3;"";0
Габон;26.06.2022;47824;"";305;0;"";0
Буркина-Фасо;24.06.2022;21044;"";387;0;"";0
Гана;18.06.2022;163332;"";1445;0;"";0
Уганда;30.03.2022;163892;"";3596;14;"";0
Южная Корея;05.03.2022;4456264;"";8957;243612;"";161
Кирибати;24.04.2022;3076;"";13;0;"";0
ДР Конго;25.03.2022;86611;"";1335;13;"";0
Южный Судан;18.03.2022;17093;"";138;9;"";0
Таджикистан;01.01.2022;17493;"";125;0;"";0
Китай;12.02.2022;162575;"";5706;1672;"";3
Хорватия;01.08.2022;1186787;"";16326;48;"";13
Гайана;24.07.2022;69447;"";1270;34;"";1
Korea, North;08.02.2022;0;"";0;0;"";0
Судно "MS Zaandam";06.06.2022;9;"";2;0;"";0
Папуа — Новая Гвинея;02.03.2022;41335;"";638;45;"";0
Бразилия;21.02.2022;28258458;"";644918;40278;"";326
Люксембург;14.05.2022;244182;"";1073;613;"";0
Winter Olympics 2022;20.03.2022;535;"";0;0;"";0
Кения;17.05.2022;324071;"";5649;25;"";0
Австрия;17.04.2022;4084222;"";19501;8807;"";21
Армения;08.04.2022;422643;"";8619;14;"";0
Коста-Рика;28.06.2022;904934;"";8525;0;"";0
Лесото;12.02.2022;32372;"";696;0;"";0
Сербия;21.03.2022;1957450;"";15696;2170;"";9
