"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Хорватия;17.03.2022;1079397;"";15392;2032;"";9
Мали;22.03.2022;30458;"";727;4;"";0
Казахстан;01.07.2022;1396044;"";19018;195;"";0
Мексика;25.04.2022;5733925;"";324134;140;"";5
Западный берег реки Иордан;04.03.2022;649971;"";5557;861;"";15
Судно "Diamond Princess";30.01.2022;712;"";13;0;"";0
Коморские острова;01.06.2022;8120;"";160;0;"";0
Барбадос;08.06.2022;81800;"";466;178;"";3
Испания;01.06.2022;12360256;"";106493;33992;"";152
Индонезия;14.01.2022;4269740;"";144163;850;"";8
Ямайка;27.04.2022;129747;"";2954;66;"";5
Шри-Ланка;26.02.2022;644060;"";16166;988;"";24
Венесуэла;08.06.2022;523969;"";5722;0;"";0
Португалия;09.01.2022;1639846;"";19113;26419;"";22
Малави;05.07.2022;86626;"";2646;26;"";0
Южный Судан;31.07.2022;17733;"";138;0;"";0
Сейшельские острова;16.06.2022;44397;"";167;0;"";0
Эквадор;23.05.2022;874719;"";35617;120;"";0
Великобритания;25.06.2022;22786805;"";180599;374;"";0
Монголия;10.04.2022;919989;"";2108;52;"";0
Исландия;04.02.2022;73530;"";49;1394;"";2
Сомали;27.06.2022;26803;"";1361;55;"";0
Канада;20.05.2022;3860575;"";40665;5833;"";82
США;28.02.2022;79111703;"";949813;98901;"";2152
Мадагаскар;02.01.2022;50279;"";1027;0;"";0
Нигерия;13.04.2022;255633;"";3142;-30;"";0
Соломоновы острова;12.01.2022;25;"";0;0;"";0
Замбия;11.01.2022;287110;"";3825;2721;"";8
Гондурас;23.04.2022;422275;"";10892;0;"";0
Сент-Люсия;31.01.2022;20942;"";328;33;"";2
Греция;20.07.2022;4210771;"";30707;0;"";0
Парагвай;18.04.2022;648446;"";18734;0;"";0
Марокко;09.01.2022;1002084;"";14911;4963;"";7
Колумбия;03.02.2022;5930393;"";135043;13568;"";262
Афганистан;03.03.2022;174214;"";7619;141;"";2
Джибути;11.05.2022;15631;"";189;0;"";0
Гренада;07.04.2022;14024;"";218;0;"";0
Камерун;04.07.2022;120068;"";1931;0;"";0
Судан;18.04.2022;62057;"";4929;0;"";0
Гвинея;22.06.2022;36817;"";442;0;"";0
Косово и Метохия;11.03.2022;226813;"";3124;47;"";1
Албания;26.03.2022;273387;"";3491;69;"";1
Эфиопия;26.03.2022;469611;"";7492;7;"";1
Сьерра-Леоне;28.06.2022;7695;"";125;1;"";0
Сент-Китс и Невис;13.05.2022;5602;"";43;2;"";0
Micronesia;20.07.2022;82;"";0;44;"";0
Фиджи;04.04.2022;64425;"";834;8;"";0
Танзания;19.06.2022;35354;"";840;0;"";0
Иордания;18.05.2022;1696359;"";14066;0;"";0
Бельгия;02.05.2022;4071279;"";31494;14831;"";55
ОАЭ;26.03.2022;889797;"";2302;341;"";0
Чехия;27.05.2022;3919600;"";40281;256;"";1
Латвия;11.02.2022;500126;"";5007;11797;"";20
Новая Зеландия;27.01.2022;15993;"";52;149;"";0
Лаос;10.06.2022;210138;"";757;9;"";1
Нигер;21.01.2022;8503;"";295;0;"";0
Antarctica;02.06.2022;11;"";0;0;"";0
Того;08.02.2022;36612;"";270;7;"";1
Руанда;10.02.2022;129234;"";1449;24;"";0
Эсватини;11.01.2022;67492;"";1345;119;"";4
Кипр;27.06.2022;504717;"";1072;0;"";0
Доминика;12.05.2022;12685;"";63;0;"";0
Германия;06.03.2022;15790989;"";124102;116889;"";51
Бутан;13.06.2022;59644;"";21;8;"";0
Россия;16.05.2022;17998438;"";370145;4486;"";88
Таиланд;23.06.2022;4507228;"";30543;2299;"";18
Маврикий;13.07.2022;233082;"";1008;0;"";0
Франция;19.06.2022;30279240;"";150078;0;"";0
Словакия;10.06.2022;2544473;"";20112;218;"";3
Либерия;27.02.2022;7360;"";290;0;"";0
Вануату;21.02.2022;15;"";1;4;"";0
Гвинея-Бисау;01.05.2022;8202;"";171;0;"";0
Камбоджа;06.06.2022;136262;"";3056;0;"";0
Кувейт;01.07.2022;644451;"";2555;1447;"";0
Алжир;04.04.2022;265694;"";6874;3;"";0
Египет;22.06.2022;515645;"";24722;0;"";0
Парагвай;27.03.2022;647906;"";18664;70;"";1
Гондурас;19.05.2022;424771;"";10896;0;"";0
Сент-Люсия;06.02.2022;21513;"";341;0;"";0
Ангола;16.07.2022;101901;"";1909;0;"";0
Косово и Метохия;01.03.2022;226309;"";3115;61;"";1
Камерун;14.07.2022;120068;"";1931;0;"";0
Судан;27.03.2022;61889;"";4901;0;"";0
Афганистан;19.04.2022;178513;"";7680;56;"";1
Колумбия;24.01.2022;5761398;"";132477;21219;"";237
Гренада;01.04.2022;14012;"";218;0;"";0
Джибути;01.05.2022;15631;"";189;20;"";0
Монголия;04.04.2022;919544;"";2108;81;"";0
Эквадор;27.04.2022;868285;"";35581;0;"";0
Сейшельские острова;06.06.2022;44199;"";167;54;"";0
Черногория;19.06.2022;238486;"";2723;70;"";0
США;06.03.2022;79339250;"";957661;12388;"";212
Нигерия;03.04.2022;255468;"";3142;0;"";0
Исландия;25.01.2022;60096;"";45;1687;"";1
Замбия;01.06.2022;321915;"";3987;136;"";0
Канада;31.01.2022;3073654;"";33870;21281;"";148
Мадагаскар;25.05.2022;64314;"";1393;0;"";0
Ямайка;07.02.2022;126222;"";2698;229;"";4
Венесуэла;14.06.2022;524321;"";5724;0;"";0
Шри-Ланка;08.03.2022;653029;"";16339;2227;"";0
Португалия;03.06.2022;4775529;"";23243;26392;"";53
Мексика;17.05.2022;5752441;"";324617;0;"";0
Казахстан;23.07.2022;1418241;"";19020;2669;"";0
Мали;17.04.2022;30658;"";729;7;"";0
Хорватия;23.02.2022;1047108;"";14942;3774;"";37
Коморские острова;11.06.2022;8131;"";160;0;"";0
Барбадос;14.06.2022;82449;"";468;131;"";0
Испания;11.06.2022;12478994;"";107108;0;"";0
Судно "Diamond Princess";05.02.2022;712;"";13;0;"";0
Болгария;05.01.2022;764476;"";31303;6766;"";66
Западный берег реки Иордан;10.03.2022;652966;"";5594;203;"";6
Бруней;17.07.2022;182950;"";225;0;"";0
Словакия;04.06.2022;2543341;"";20104;181;"";1
Вануату;19.03.2022;480;"";1;0;"";0
Либерия;05.03.2022;7384;"";294;0;"";0
Алжир;10.04.2022;265724;"";6874;4;"";0
Гвинея-Бисау;11.05.2022;8215;"";171;0;"";0
Камбоджа;16.06.2022;136262;"";3056;0;"";0
Украина;15.01.2022;3929950;"";104663;10799;"";142
Доминика;06.05.2022;12386;"";63;225;"";0
Руанда;02.05.2022;129834;"";1459;24;"";0
Бутан;07.06.2022;59636;"";21;0;"";0
Германия;28.02.2022;14745107;"";122702;62349;"";24
Россия;27.01.2022;11217423;"";322135;88105;"";651
Кипр;19.07.2022;545896;"";1086;0;"";0
Филиппины;01.08.2022;3780178;"";60737;3551;"";10
Маврикий;03.07.2022;231036;"";1004;0;"";0
Таиланд;28.05.2022;4438999;"";29948;4488;"";38
Франция;24.05.2022;29583616;"";149044;32281;"";89
Сенегал;01.08.2022;87423;"";1968;37;"";0
Латвия;01.05.2022;822013;"";5760;0;"";0
Того;29.01.2022;36469;"";267;0;"";0
Нигер;16.02.2022;8724;"";303;0;"";0
Лаос;04.06.2022;210069;"";756;8;"";0
Новая Зеландия;02.02.2022;17007;"";52;188;"";0
Antarctica;12.06.2022;11;"";0;0;"";0
Танзания;24.05.2022;35354;"";840;0;"";0
Фиджи;10.04.2022;64492;"";834;0;"";0
Сент-Китс и Невис;07.05.2022;5587;"";43;4;"";0
Эфиопия;21.04.2022;470389;"";7510;37;"";0
Сьерра-Леоне;20.07.2022;7725;"";125;0;"";0
Албания;21.04.2022;274606;"";3496;0;"";0
Micronesia;28.06.2022;38;"";0;0;"";0
Австралия;03.01.2022;537308;"";2270;44745;"";4
Мавритания;30.06.2022;59814;"";983;137;"";1
Бельгия;08.05.2022;4088336;"";31552;0;"";0
ОАЭ;21.04.2022;896372;"";2302;231;"";0
Чехия;18.06.2022;3925291;"";40307;123;"";0
Иордания;22.04.2022;1695432;"";14059;0;"";0
Люксембург;08.07.2022;270130;"";1097;1044;"";2
Болгария;19.07.2022;1189000;"";37307;1862;"";6
Западный берег реки Иордан;16.05.2022;657329;"";5657;136;"";0
Судно "Diamond Princess";15.04.2022;712;"";13;0;"";0
Гайана;28.04.2022;63457;"";1228;10;"";0
Мали;07.02.2022;30215;"";715;10;"";0
Мьянма;09.03.2022;602321;"";19398;1301;"";4
Казахстан;01.01.2022;1072999;"";18211;481;"";0
Мексика;09.03.2022;5583993;"";320408;8385;"";242
Хорватия;03.05.2022;1123578;"";15848;549;"";5
Грузия;31.03.2022;1648264;"";16745;468;"";6
Монако;29.03.2022;10670;"";54;140;"";0
Палау;31.05.2022;5065;"";6;22;"";0
Индонезия;04.07.2022;6095351;"";156758;1434;"";9
Шри-Ланка;22.05.2022;663758;"";16512;9;"";0
Уганда;11.06.2022;166121;"";3602;75;"";0
