"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Палау;16.07.2020;0;0;0;0;0;0
Австралия;09.02.2020;15;2;0;0;0;0
Micronesia;28.03.2020;0;0;0;0;0;0
Венесуэла;01.01.2021;113884;107901;1030;326;318;2
Албания;03.05.2020;795;531;31;6;12;0
Эфиопия;03.05.2020;135;75;3;2;6;0
Сьерра-Леоне;07.04.2020;6;0;0;0;0;0
Сент-Китс и Невис;19.05.2020;15;15;0;0;1;0
Фиджи;12.05.2020;18;14;0;0;0;0
Танзания;26.02.2020;0;0;0;0;0;0
Шри-Ланка;25.09.2020;3345;3158;13;12;16;0
Индонезия;11.08.2020;128776;83710;5824;1693;1474;59
Иордания;01.06.2020;746;535;9;7;13;0
Summer Olympics 2020;29.10.2020;0;0;0;0;0;0
Чехия;06.03.2020;18;0;0;6;0;0
Сербия;27.09.2020;33384;0;747;72;0;1
Руанда;05.04.2020;104;4;0;2;4;0
Лесото;27.12.2020;2725;1466;51;0;0;0
Бельгия;17.06.2020;60244;16684;9675;89;59;12
ОАЭ;03.05.2020;14163;2763;126;564;99;7
Мексика;04.12.2020;1156770;852719;108863;12127;9488;690
Мали;04.11.2020;3609;2791;137;25;16;1
Хорватия;16.10.2020;23665;19087;345;1131;459;1
Antarctica;12.03.2020;0;0;0;0;0;0
Коморские острова;31.12.2020;823;705;10;58;5;1
Барбадос;01.01.2021;395;319;7;12;0;0
Испания;31.12.2020;1928265;150376;50837;18047;0;148
Лаос;17.02.2020;0;0;0;0;0;0
Бруней;27.05.2020;141;137;2;0;0;1
Судно "Diamond Princess";27.08.2020;712;651;13;0;0;0
Болгария;25.07.2020;10312;5306;338;189;54;1
Западный берег реки Иордан;27.09.2020;38703;29068;291;450;1364;6
Чехия;24.06.2020;10777;7588;343;127;33;4
Бельгия;05.10.2020;132203;19712;10078;1968;33;14
ОАЭ;25.08.2020;67621;58754;377;339;172;1
Иордания;21.10.2020;43620;7223;443;2648;100;29
Фиджи;30.08.2020;28;23;2;0;0;0
Танзания;17.07.2020;509;183;21;0;0;0
Индонезия;22.03.2020;514;29;48;64;14;10
Шри-Ланка;03.06.2020;1749;836;11;66;13;0
Палау;21.02.2020;0;0;0;0;0;0
Micronesia;21.08.2020;0;0;0;0;0;0
Сербия;20.04.2020;6630;870;125;312;117;3
Албания;25.08.2020;8759;4530;259;154;117;5
Эфиопия;25.08.2020;43688;15796;709;1545;534;17
Руанда;10.07.2020;1252;635;3;42;12;0
Сент-Китс и Невис;12.10.2020;19;18;0;0;0;0
Сьерра-Леоне;26.07.2020;1783;1313;66;15;16;0
Кувейт;06.12.2020;144369;140035;891;205;425;2
Болгария;06.04.2020;549;39;22;18;2;2
Того;11.11.2020;2593;1792;59;35;29;2
Судно "Diamond Princess";09.05.2020;712;645;13;0;0;0
Западный берег реки Иордан;09.06.2020;481;404;3;8;0;0
Antarctica;04.07.2020;0;0;0;0;0;0
Узбекистан;29.01.2020;0;0;0;0;0;0
Новая Зеландия;07.11.2020;1982;1909;26;6;1;0
Лаос;12.07.2020;19;19;0;0;0;0
Нигер;28.10.2020;1218;1132;69;0;0;0
Хорватия;23.05.2020;2243;2023;99;0;12;0
Казахстан;11.02.2020;0;0;0;0;0;0
Бруней;31.08.2020;144;139;3;0;0;0
Киргизия;15.02.2020;0;0;0;0;0;0
Франция;17.07.2020;214009;79371;30155;826;210;13
Колумбия;27.04.2020;5597;1210;253;218;77;9
Уганда;29.04.2020;81;52;0;2;0;0
Таиланд;13.07.2020;3220;3090;58;3;2;0
Маврикий;10.08.2020;344;334;10;0;0;0
Косово и Метохия;02.06.2020;1110;843;30;27;0;0
Монако;06.03.2020;1;0;0;0;0;0
Камерун;27.01.2020;0;0;0;0;0;0
Мавритания;17.09.2020;7346;6865;161;14;21;0
Германия;19.12.2020;1471238;1107115;25640;31300;11133;702
Бутан;07.07.2020;80;55;0;0;2;0
Сент-Люсия;08.05.2020;18;17;0;0;0;0
Доминика;11.10.2020;32;24;0;0;0;0
Грузия;04.03.2020;3;0;0;0;0;0
Кипр;25.07.2020;1047;852;19;2;5;0
Марокко;15.03.2020;28;1;1;11;0;0
Исландия;26.04.2020;1792;1608;10;2;38;0
Папский Престол;04.03.2020;0;0;0;0;0;0
Алжир;30.08.2020;44146;30978;1501;365;261;10
Уругвай;28.02.2020;0;0;0;0;0;0
Норвегия;27.02.2020;1;0;0;0;0;0
Мьянма;22.01.2020;0;0;0;0;0;0
Камбоджа;30.06.2020;141;130;0;0;0;0
Соломоновы острова;20.03.2020;0;0;0;0;0;0
США;05.06.2020;1899778;491706;112328;26439;6704;880
Гвинея-Бисау;08.10.2020;2385;1728;40;0;0;0
Гайана;09.04.2020;37;8;6;0;0;0
Люксембург;05.06.2020;4032;3885;110;5;11;0
Либерия;08.12.2020;1676;1358;83;0;0;0
Вануату;28.11.2020;1;0;0;0;0;0
Словакия;12.07.2020;1901;1493;28;8;0;0
Латвия;11.07.2020;1173;1019;30;8;0;0
Замбия;16.10.2020;15659;14899;346;0;0;0
Нигер;14.05.2020;876;677;50;16;19;1
Новая Зеландия;04.05.2020;1486;1302;21;-1;26;0
Барбадос;28.06.2020;97;90;7;0;0;0
Мадагаскар;23.10.2020;16810;16215;238;0;0;0
Испания;03.07.2020;250545;150376;28385;442;0;17
Коморские острова;03.07.2020;309;241;7;6;41;0
Индия;17.02.2020;3;3;0;0;0;0
Сомали;10.12.2020;4579;3529;121;0;0;0
Западный берег реки Иордан;05.12.2020;96098;71236;812;1422;1030;15
Того;30.04.2020;116;65;9;7;1;2
Судно "Diamond Princess";02.11.2020;712;659;13;0;0;0
Великобритания;08.12.2020;1754821;3768;62130;12416;18;599
Мали;29.08.2020;2757;2121;126;21;66;0
Черногория;28.09.2020;10441;6720;163;128;264;5
Казахстан;21.07.2020;75153;46790;585;1685;3389;0
Мексика;28.09.2020;733717;622398;76603;3400;5702;173
Турция;27.04.2020;112261;33791;2900;2131;4651;95
Хорватия;22.12.2020;197323;178880;3328;1595;2514;71
Гвинея;11.11.2020;12516;10879;74;32;22;0
Мальдивы;03.03.2020;0;0;0;0;0;0
Афганистан;23.07.2020;36001;24550;1215;188;626;21
Сьерра-Леоне;06.02.2020;0;0;0;0;0;0
Австралия;31.03.2020;4559;358;18;198;101;1
Греция;17.12.2020;128710;93764;3948;1153;0;78
Венесуэла;28.06.2020;5297;1649;44;167;322;2
Ангола;01.09.2020;2729;1084;109;75;13;1
Шри-Ланка;11.12.2020;31375;22831;147;762;570;1
Египет;25.09.2020;102625;93531;5853;112;887;18
Япония;07.02.2020;23;1;0;0;0;0
Нигерия;08.09.2020;55456;43334;1067;296;103;6
США;09.12.2020;15520214;5889896;291229;216068;102981;3165
Гамбия;22.01.2020;0;0;0;0;0;0
Исландия;15.11.2020;5189;4813;25;3;46;0
Эквадор;18.10.2020;153289;134187;12387;867;6053;12
Нидерланды;24.03.2020;6432;1;277;857;1;63
Монголия;09.09.2020;310;298;0;0;2;0
Либерия;06.06.2020;334;185;30;13;9;2
Вануату;16.06.2020;0;0;0;0;0;0
Сейшельские острова;06.07.2020;81;11;0;0;0;0
Камерун;05.08.2020;17718;15320;391;0;0;0
Судан;17.09.2020;13535;6759;836;0;0;0
Бахрейн;01.03.2020;47;0;0;6;0;0
Тонга;01.03.2020;0;0;0;0;0;0
Косово и Метохия;12.12.2020;46118;33064;1186;524;566;12
Малави;02.12.2020;6040;5471;185;12;6;0
Португалия;14.10.2020;91193;54493;2117;2072;446;7
Джибути;14.10.2020;5440;5366;61;12;4;0
Маврикий;22.01.2020;0;0;0;0;0;0
Гренада;14.09.2020;24;24;0;0;0;0
Колумбия;14.11.2020;1191634;1097576;33829;8937;8236;160
Парагвай;17.09.2020;31113;16313;584;694;573;18
Эсватини;17.03.2020;1;0;0;0;0;0
Италия;21.04.2020;183957;51600;24648;2729;2723;534
Кипр;07.02.2020;0;0;0;0;0;0
Украина;12.04.2020;2777;89;83;266;10;10
Сент-Люсия;03.11.2020;97;32;0;13;4;0
Гондурас;30.09.2020;76900;27922;2353;802;539;30
Германия;26.05.2020;179002;161967;8302;432;768;45
США;26.05.2020;1681201;384902;102419;18725;5745;657
Камбоджа;06.07.2020;141;131;0;0;0;0
Норвегия;04.03.2020;56;0;0;24;0;0
Уругвай;22.02.2020;0;0;0;0;0;0
Гвинея-Бисау;14.10.2020;2389;1782;41;0;0;0
Соломоновы острова;15.04.2020;0;0;0;0;0;0
Алжир;09.09.2020;47216;33379;1581;278;196;10
Папский Престол;27.02.2020;0;0;0;0;0;0
Исландия;02.05.2020;1798;1706;10;0;17;0
Мьянма;07.03.2020;0;0;0;0;0;0
Вануату;20.12.2020;1;1;0;0;0;0
Либерия;18.12.2020;1771;1406;83;0;0;0
Winter Olympics 2022;24.04.2020;0;0;0;0;0;0
Словакия;02.07.2020;1700;1466;28;13;0;0
Korea, North;18.05.2020;0;0;0;0;0;0
Косово и Метохия;08.06.2020;1234;890;31;40;6;1
Колумбия;03.05.2020;7668;1722;340;383;56;16
Франция;25.06.2020;201853;75475;29754;255;224;19
Киргизия;08.03.2020;0;0;0;0;0;0
Мавритания;05.12.2020;9359;7835;184;178;23;2
Маврикий;04.08.2020;344;334;10;0;0;0
Таиланд;21.06.2020;3148;3018;58;1;0;0
Кипр;20.08.2020;1385;878;21;26;0;1
Марокко;10.04.2020;1448;122;107;74;13;10
Бутан;27.06.2020;75;38;0;5;0;0
Германия;09.12.2020;1218524;929272;19932;20815;20214;590
Доминика;01.10.2020;31;24;0;1;0;0
Сент-Люсия;28.04.2020;15;15;0;0;0;0
Кувейт;16.09.2020;96999;87187;571;698;968;3
Antarctica;10.07.2020;0;0;0;0;0;0
Нигер;19.11.2020;1335;1153;70;4;2;0
Лаос;02.07.2020;19;19;0;0;0;0
Новая Зеландия;17.11.2020;2008;1919;26;3;0;0
Индия;28.12.2020;10224303;9807569;148153;16432;24900;252
Судно "Diamond Princess";29.04.2020;712;645;13;0;0;0
Того;05.11.2020;2442;1708;57;36;9;0
Болгария;27.03.2020;293;9;3;29;1;0
Узбекистан;13.02.2020;0;0;0;0;0;0
Западный берег реки Иордан;30.05.2020;447;368;3;1;0;0
Хорватия;18.06.2020;2269;2142;107;11;1;0
Бруней;22.12.2020;152;149;3;0;0;0
Иордания;29.09.2020;10049;4496;57;823;137;6
Чехия;20.07.2020;14098;8836;359;153;75;0
Бельгия;15.10.2020;191959;20720;10327;10448;133;49
ОАЭ;16.09.2020;81782;71456;402;842;821;1
Micronesia;26.07.2020;0;0;0;0;0;0
Палау;02.03.2020;0;0;0;0;0;0
Сент-Китс и Невис;02.10.2020;19;17;0;0;0;0
Эфиопия;16.09.2020;66224;26665;1045;738;677;10
Россия;26.06.2020;619936;383524;8770;6788;8967;176
Сьерра-Леоне;21.08.2020;1972;1542;69;3;6;0
Албания;16.09.2020;11816;6733;343;144;65;3
Summer Olympics 2020;09.05.2020;0;0;0;0;0;0
Танзания;25.06.2020;509;183;21;0;0;0
Фиджи;09.09.2020;32;24;2;1;0;0
Лесото;30.05.2020;2;1;0;0;0;0
Шри-Ланка;28.05.2020;1530;745;10;61;13;0
Индонезия;13.04.2020;4557;380;399;316;21;26
Гренада;04.09.2020;24;24;0;0;0;0
Маврикий;28.01.2020;0;0;0;0;0;0
Джибути;08.10.2020;5423;5355;61;0;2;0
Малави;12.09.2020;5678;3724;177;9;4;0
Колумбия;08.11.2020;1143887;1038082;32791;7440;9000;196
Косово и Метохия;06.12.2020;42805;28504;1106;468;683;19
Португалия;31.10.2020;141279;80280;2507;4007;2831;39
Тонга;20.02.2020;0;0;0;0;0;0
Бахрейн;20.02.2020;0;0;0;0;0;0
Камерун;11.08.2020;18213;15320;398;171;0;3
Судан;22.08.2020;12836;6492;815;154;16;3
Сент-Люсия;13.11.2020;156;46;2;8;0;0
Украина;21.03.2020;47;1;3;18;1;0
Германия;05.06.2020;183271;168480;8613;507;571;32
Гондурас;22.10.2020;91509;37132;2604;431;791;8
Эсватини;08.04.2020;12;7;0;2;3;0
Парагвай;22.08.2020;12974;7197;192;438;190;10
Ямайка;15.07.2020;763;647;10;1;4;0
Исландия;09.11.2020;5101;4456;23;23;33;3
Нигерия;02.09.2020;54463;42439;1027;216;429;4
Гамбия;07.03.2020;0;0;0;0;0;0
США;19.12.2020;17777173;"";319297;205823;"";2805
Сейшельские острова;30.06.2020;81;11;0;4;0;0
Монголия;30.08.2020;301;295;0;0;0;0
Эквадор;26.09.2020;133981;102852;11273;1506;0;37
Вануату;25.05.2020;0;0;0;0;0;0
Либерия;27.05.2020;266;144;26;1;0;0
Гвинея;25.09.2020;10478;9816;65;44;15;0
Мальдивы;26.02.2020;0;0;0;0;0;0
Греция;28.08.2020;9800;3804;259;269;0;5
Шри-Ланка;17.12.2020;35387;26353;160;650;701;0
Польша;18.05.2020;18885;7628;936;356;177;11
Ангола;21.12.2020;16686;9695;390;42;103;3
Япония;20.02.2020;95;18;2;10;0;0
Micronesia;06.02.2020;0;0;0;0;0;0
Египет;11.11.2020;109881;100662;6405;227;122;11
Судно "Diamond Princess";12.11.2020;712;659;13;0;0;0
Мадагаскар;07.11.2020;17111;16409;244;0;0;0
Австралия;25.03.2020;2364;119;8;320;4;0
Того;06.05.2020;128;77;9;0;3;0
Венесуэла;08.07.2020;8008;2100;75;315;0;4
Западный берег реки Иордан;15.12.2020;113409;88967;1023;2307;1910;23
Индия;14.03.2020;102;4;2;20;0;0
Канада;22.06.2020;102004;65721;8589;355;472;14
Замбия;29.10.2020;16325;15585;348;40;26;0
Новая Зеландия;24.04.2020;1461;1118;18;5;23;0
Барбадос;08.07.2020;98;90;7;0;0;0
Испания;09.07.2020;253056;150376;28401;543;0;5
Нигер;22.04.2020;662;193;22;5;66;2
Сомали;20.09.2020;3442;2877;98;41;65;0
Коморские острова;09.07.2020;314;272;7;1;0;0
Панама;16.04.2020;3751;75;103;177;3;8
Черногория;16.11.2020;27773;17862;396;596;475;5
Швеция;20.05.2020;32626;0;3831;808;0;88
Мальта;24.03.2020;110;2;0;3;0;0
Хорватия;26.11.2020;115626;92349;1552;4009;2924;51
Великобритания;22.09.2020;406058;2240;41914;4937;10;37
Мексика;24.10.2020;886800;746939;88743;6025;6005;431
Казахстан;16.08.2020;121161;82777;1633;1380;1219;200
Мали;20.09.2020;3013;2372;128;7;23;0
Эквадор;24.05.2020;36756;3560;3108;498;3;12
Монголия;29.04.2020;38;10;0;0;0;0
Вануату;25.09.2020;0;0;0;0;0;0
Либерия;05.10.2020;1348;1236;82;1;0;0
Сейшельские острова;26.02.2020;0;0;0;0;0;0
Бруней;04.08.2020;141;138;3;0;0;0
Нигерия;30.04.2020;1932;319;58;204;12;7
Гвинея-Бисау;11.12.2020;2444;2337;44;0;0;0
Алжир;02.11.2020;58574;40577;1980;302;182;7
Парагвай;21.04.2020;213;53;9;5;7;1
Эсватини;19.08.2020;4058;2611;79;69;24;3
Россия;13.11.2020;1865395;1396851;32156;21717;18388;401
Украина;24.07.2020;64173;35932;1591;1004;897;21
Сербия;18.03.2020;83;1;0;18;0;0
Руанда;11.10.2020;4896;3606;31;4;40;1
Доминика;14.12.2020;88;83;0;0;0;0
Лесото;04.02.2020;0;0;0;0;0;0
Германия;16.10.2020;348557;289027;9734;7334;2890;24
Гондурас;11.06.2020;7669;837;294;309;28;4
Камерун;31.03.2020;193;5;6;54;0;0
Судан;21.04.2020;107;8;12;15;0;0
Бахрейн;02.07.2020;27837;22583;94;423;635;2
Тонга;02.07.2020;0;0;0;0;0;0
Джибути;28.05.2020;2914;1241;20;217;56;2
Гренада;24.04.2020;15;7;0;0;1;0
Люксембург;04.03.2020;1;0;0;0;0;0
Мали;10.05.2020;704;351;38;12;53;1
Гайана;16.05.2020;117;43;10;1;0;0
Казахстан;15.04.2020;1295;240;16;63;37;4
Korea, North;31.01.2020;0;0;0;0;0;0
Мексика;13.06.2020;142690;104078;16872;3494;3202;424
Латвия;10.10.2020;2596;1322;40;89;0;0
Нигер;25.08.2020;1173;1084;69;1;0;0
Новая Зеландия;04.09.2020;1767;1631;25;3;1;0
Барбадос;05.03.2020;0;0;0;0;0;0
Испания;29.02.2020;45;2;0;13;0;0
Коморские острова;29.02.2020;0;0;0;0;0;0
Индия;15.07.2020;968857;612768;24914;32676;20736;605
Болгария;02.02.2020;0;0;0;0;0;0
Того;08.09.2020;1513;1127;34;20;13;1
Сент-Китс и Невис;15.12.2020;28;23;0;0;0;0
Эфиопия;28.10.2020;94820;49886;1451;602;918;6
Албания;28.10.2020;20040;10893;493;311;85;6
Грузия;05.06.2020;805;650;13;4;6;0
Австралия;05.08.2020;19890;7947;255;445;142;8
Венесуэла;05.03.2020;0;0;0;0;0;0
Фиджи;02.11.2020;34;31;2;0;0;0
Иордания;24.12.2020;283690;254496;3681;1707;2338;29
Мальдивы;30.06.2020;2361;1944;9;24;17;1
Уганда;25.03.2020;14;0;0;5;0;0
Бельгия;08.12.2020;594572;0;17507;1957;0;121
ОАЭ;28.10.2020;129024;124647;485;1400;2189;3
Монако;03.06.2020;99;90;4;0;0;0
Мавритания;19.08.2020;6829;6094;158;40;43;1
Гондурас;03.12.2020;109760;48953;2938;616;76;8
Бутан;25.02.2020;0;0;0;0;0;0
Польша;31.01.2020;0;0;0;0;0;0
Ангола;03.08.2020;1280;476;58;81;15;3
Доминика;31.05.2020;16;16;0;0;0;0
Сент-Люсия;31.08.2020;26;25;0;0;0;0
Украина;08.02.2020;0;0;0;0;0;0
Кипр;11.04.2020;595;61;10;31;3;0
Марокко;21.08.2020;49247;34199;817;1609;1393;42
Египет;24.06.2020;59561;15935;2450;1420;400;85
Парагвай;20.11.2020;75058;53502;1647;563;442;11
Киргизия;17.07.2020;13101;3821;173;603;86;6
Франция;15.02.2020;12;4;1;1;2;1
Колумбия;11.09.2020;702088;582694;22518;7424;13215;243
Джибути;17.12.2020;5770;5635;61;11;7;0
Таиланд;19.02.2020;35;15;0;0;0;0
Гренада;17.11.2020;33;29;0;0;0;0
Маврикий;26.03.2020;48;0;2;6;0;0
Косово и Метохия;09.10.2020;16050;14250;641;79;61;3
Судан;20.11.2020;15839;9682;1185;309;12;6
Афганистан;27.08.2020;38215;29046;1405;16;4;0
Черногория;21.06.2020;362;315;9;3;0;0
Швеция;02.02.2020;1;0;0;0;0;0
Монголия;12.11.2020;382;317;0;8;0;0
Эквадор;21.12.2020;206329;181618;13949;72;3667;1
Словакия;20.02.2020;0;0;0;0;0;0
Турция;27.03.2020;5698;42;92;2069;16;17
Исландия;12.09.2020;2162;2085;10;1;6;0
Папский Престол;29.06.2020;12;12;0;0;0;0
Канада;17.11.2020;310914;248859;11171;4423;4160;66
Мадагаскар;14.07.2020;5343;2646;39;263;152;2
Алжир;09.05.2020;5558;2546;494;189;79;6
Замбия;05.07.2020;1632;1348;30;0;0;0
Уругвай;04.07.2020;955;840;28;3;3;0
Норвегия;05.07.2020;8930;8138;251;4;0;0
США;06.10.2020;7505608;2952390;209824;44556;17248;694
Камбоджа;03.03.2020;1;1;0;0;0;0
Нигерия;11.11.2020;64516;60737;1162;180;404;2
Гвинея-Бисау;03.06.2020;1339;53;8;0;0;0
Соломоновы острова;16.08.2020;0;0;0;0;0;0
Италия;17.03.2020;31506;2941;2503;3526;192;345
Танзания;15.02.2020;0;0;0;0;0;0
Фиджи;09.05.2020;18;14;0;0;0;0
Индонезия;14.08.2020;135123;89618;6021;2307;2060;53
Шри-Ланка;08.10.2020;4488;3278;13;29;4;0
Палау;11.07.2020;0;0;0;0;0;0
Micronesia;15.03.2020;0;0;0;0;0;0
Австралия;27.01.2020;5;0;0;1;0;0
Албания;14.05.2020;898;694;31;18;6;0
Сент-Китс и Невис;30.05.2020;15;15;0;0;0;0
Эфиопия;14.05.2020;272;108;5;9;0;0
Ямайка;08.11.2020;9506;4934;221;34;56;3
Сьерра-Леоне;10.04.2020;8;0;0;1;0;0
Чехия;09.03.2020;31;0;0;0;0;0
Малави;29.12.2020;6388;5688;188;11;6;0
Бельгия;06.06.2020;59072;16190;9580;165;78;14
ОАЭ;14.05.2020;21084;6930;208;698;407;2
Португалия;07.07.2020;44416;29445;1629;287;279;9
Иордания;21.05.2020;684;457;9;12;11;0
Хорватия;19.10.2020;25973;20529;374;393;476;11
Нидерланды;30.04.2020;39987;125;4811;475;6;84
Мексика;01.12.2020;1122362;829817;106765;8819;6231;825
Мали;01.11.2020;3565;2758;136;11;5;0
Болгария;30.07.2020;11420;6173;374;265;202;6
Западный берег реки Иордан;02.10.2020;40766;32944;321;444;367;3
Судно "Diamond Princess";30.08.2020;712;651;13;0;0;0
Antarctica;28.02.2020;0;0;0;0;0;0
Лаос;20.02.2020;0;0;0;0;0;0
Индонезия;09.02.2020;0;0;0;0;0;0
Фиджи;12.11.2020;35;32;2;0;0;0
Албания;19.11.2020;30623;14565;657;786;349;11
Эфиопия;19.11.2020;104427;64983;1607;499;390;6
Сент-Китс и Невис;05.12.2020;25;20;0;3;1;0
Австралия;11.08.2020;22127;9401;352;414;251;21
Венесуэла;24.02.2020;0;0;0;0;0;0
Бельгия;18.12.2020;621039;0;18455;2835;0;84
ОАЭ;19.11.2020;155254;146469;544;1153;932;2
Иордания;02.12.2020;227208;168429;2854;3591;5470;52
Мальдивы;06.07.2020;2491;2113;12;23;64;1
Korea, North;19.02.2020;0;0;0;0;0;0
Winter Olympics 2022;30.03.2020;0;0;0;0;0;0
Мексика;18.05.2020;51633;35388;5332;2414;2059;155
Казахстан;20.03.2020;49;0;0;5;0;0
Латвия;27.10.2020;4893;1382;63;136;25;3
Мали;18.04.2020;216;41;13;45;7;0
Того;02.09.2020;1434;1055;30;18;20;2
Болгария;23.01.2020;0;0;0;0;0;0
Индия;19.06.2020;395048;213831;12948;14516;9120;375
Новая Зеландия;14.09.2020;1801;1694;26;3;16;0
Барбадос;24.02.2020;0;0;0;0;0;0
Испания;23.02.2020;2;2;0;0;0;0
Нигер;16.09.2020;1182;1104;69;0;0;0
Мьянма;18.06.2020;286;187;6;24;2;0
Коморские острова;23.02.2020;0;0;0;0;0;0
Доминика;04.12.2020;85;72;0;0;9;0
Россия;23.09.2020;1117487;920602;19720;6330;5679;145
Summer Olympics 2020;31.03.2020;0;0;0;0;0;0
Украина;15.08.2020;91795;48946;2076;1878;658;34
Гондурас;20.05.2020;2955;349;147;0;0;0
Германия;06.10.2020;303258;267747;9546;2639;2123;12
Марокко;06.02.2020;0;0;0;0;0;0
Эсватини;28.07.2020;2404;1025;39;88;0;5
Парагвай;17.05.2020;786;202;11;8;4;0
Руанда;26.10.2020;5073;4848;34;7;18;0
Лесото;23.02.2020;0;0;0;0;0;0
Гренада;04.05.2020;21;13;0;0;0;0
Таиланд;30.12.2020;6690;4240;61;250;28;0
Джибути;03.06.2020;3935;1636;26;156;29;1
Тонга;12.07.2020;0;0;0;0;0;0
Бахрейн;12.07.2020;32941;28425;108;471;597;4
Камерун;25.03.2020;75;2;1;9;2;1
Судан;17.05.2020;2289;222;97;325;0;0
Сейшельские острова;03.03.2020;0;0;0;0;0;0
Монголия;09.05.2020;42;14;0;0;1;0
Эквадор;15.06.2020;47322;23349;3929;571;285;33
Либерия;15.10.2020;1372;1254;82;0;0;0
Вануату;17.10.2020;0;0;0;0;0;0
Кувейт;20.08.2020;78767;70642;509;622;871;2
Алжир;12.11.2020;65108;42980;2111;851;0;18
Гвинея-Бисау;17.12.2020;2447;2378;44;0;0;0
Нигерия;06.05.2020;3145;534;103;195;53;5
Соломоновы острова;11.02.2020;0;0;0;0;0;0
Узбекистан;24.05.2020;3164;2565;13;49;33;0
Мали;23.11.2020;4326;3044;146;71;20;1
Мексика;27.12.2020;1383434;1038766;122426;6217;6902;400
Хорватия;23.09.2020;15340;13815;257;204;828;2
Antarctica;22.02.2020;0;0;0;0;0;0
Лаос;01.03.2020;0;0;0;0;0;0
Гамбия;18.06.2020;36;24;1;2;0;0
Судно "Diamond Princess";09.09.2020;712;651;13;0;0;0
Болгария;09.08.2020;13396;7772;447;53;54;2
Западный берег реки Иордан;12.10.2020;44684;38228;387;385;286;6
Micronesia;10.04.2020;0;0;0;0;0;0
Палау;01.07.2020;0;0;0;0;0;0
Эфиопия;22.04.2020;116;21;3;2;5;0
Сьерра-Леоне;15.03.2020;0;0;0;0;0;0
Сент-Китс и Невис;09.06.2020;15;15;0;0;0;0
Албания;22.04.2020;634;356;27;25;11;1
Фиджи;29.04.2020;18;12;0;0;0;0
Танзания;08.03.2020;0;0;0;0;0;0
Ямайка;22.10.2020;8600;4095;179;155;79;5
Шри-Ланка;14.10.2020;5170;3357;13;132;29;0
Индонезия;23.07.2020;93657;52164;4576;1906;1909;117
Иордания;12.06.2020;915;671;9;25;1;0
Малави;08.08.2020;4624;2329;143;49;145;6
Чехия;12.02.2020;0;0;0;0;0;0
Бельгия;27.05.2020;57592;15465;9364;137;145;30
ОАЭ;22.04.2020;8238;1546;52;483;103;6
Мальта;30.04.2020;465;351;4;2;12;0
Великобритания;14.08.2020;318178;1481;41443;1459;2;11
Словакия;01.03.2020;0;0;0;0;0;0
Эквадор;29.11.2020;192117;169804;13423;1208;5795;52
Швеция;17.02.2020;1;0;0;0;0;0
Монголия;02.11.2020;346;313;0;0;0;0
Камбоджа;26.02.2020;1;1;0;0;0;0
США;16.10.2020;8054470;3197539;217683;70206;20142;926
Норвегия;29.06.2020;8862;8138;249;7;0;0
Уругвай;10.07.2020;985;886;29;8;8;0
Канада;27.09.2020;156404;133204;9294;1458;951;6
Нигерия;05.11.2020;63508;59748;1155;180;73;0
Гвинея-Бисау;28.05.2020;1195;42;8;0;0;1
Соломоновы острова;21.07.2020;0;0;0;0;0;0
Алжир;29.04.2020;3848;1702;444;199;51;7
Сомали;16.08.2020;3256;2374;93;6;106;0
Папский Престол;05.07.2020;12;12;0;0;0;0
Панама;22.03.2020;313;0;3;113;0;2
Исландия;06.09.2020;2141;2050;10;5;12;0
Кипр;16.03.2020;30;0;0;9;0;0
Эсватини;04.02.2020;0;0;0;0;0;0
Парагвай;25.10.2020;59594;39735;1309;551;521;16
Греция;22.07.2020;4077;1374;200;29;0;3
Марокко;26.07.2020;20278;16438;313;633;156;8
Польша;19.02.2020;0;0;0;0;0;0
Бутан;06.03.2020;1;0;0;1;0;0
Гондурас;25.12.2020;118659;55587;3061;623;781;7
Япония;02.06.2020;16829;14585;903;51;122;3
Сент-Люсия;10.09.2020;27;26;0;0;0;0
Доминика;10.06.2020;18;16;0;0;0;0
Судан;25.10.2020;13742;6764;837;9;0;0
Косово и Метохия;03.10.2020;15758;13787;630;53;56;3
Гвинея;24.06.2020;5174;3861;29;134;176;1
Колумбия;05.09.2020;658456;507770;21156;8393;9549;268
Франция;08.03.2020;1125;12;19;177;0;3
Киргизия;25.06.2020;4204;2162;43;250;50;0
Маврикий;01.04.2020;143;0;5;18;0;2
Гренада;07.11.2020;30;27;0;0;0;0
Таиланд;12.03.2020;72;35;1;13;1;0
Джибути;11.12.2020;5721;5608;61;4;3;0
Афганистан;18.12.2020;50202;38540;2032;275;35;15
Алжир;22.09.2020;50214;35307;1689;191;127;10
Исландия;15.05.2020;1802;1782;10;0;2;0
Папский Престол;14.02.2020;0;0;0;0;0;0
Швеция;26.07.2020;75861;0;5697;42;0;0
Мальта;07.10.2020;3442;2865;41;68;53;1
Великобритания;07.03.2020;429;18;2;55;10;1
Норвегия;07.03.2020;147;0;0;39;0;0
Камбоджа;17.07.2020;171;133;0;0;0;0
США;23.05.2020;1623208;361239;100524;20189;11104;1074
Уругвай;19.02.2020;0;0;0;0;0;0
Соломоновы острова;02.04.2020;0;0;0;0;0;0
Гвинея-Бисау;17.10.2020;2389;1782;41;0;0;0
