"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Албания;10.08.2020;6536;3379;200;125;37;1
Эфиопия;10.08.2020;23591;10411;420;773;205;13
Сьерра-Леоне;09.09.2020;2067;1622;72;3;9;0
Сент-Китс и Невис;23.06.2020;15;15;0;0;0;0
Болгария;29.10.2020;48150;19695;1225;2689;536;28
Западный берег реки Иордан;01.01.2021;139223;118926;1418;1219;1743;18
Того;18.03.2020;1;0;0;0;0;0
Индия;26.05.2020;150793;64277;4344;5843;3571;172
Афганистан;26.01.2020;0;0;0;0;0;0
Новая Зеландия;15.04.2020;1386;728;12;20;100;0
Барбадос;27.09.2020;190;178;7;0;0;0
Испания;26.09.2020;716481;150376;31232;0;0;0
Нигер;01.04.2020;74;0;5;47;0;2
Гвинея;14.05.2020;2473;895;15;99;39;1
Коморские острова;26.09.2020;478;458;7;4;5;0
Япония;12.08.2020;51303;34969;1066;979;833;5
Казахстан;04.09.2020;132924;104176;1878;570;0;0
Мексика;27.06.2020;212802;160721;26381;4410;3894;602
Греция;11.06.2020;3088;1374;183;20;0;0
Мали;31.07.2020;2535;1937;124;13;6;0
Польша;21.09.2020;79988;64604;2298;748;302;5
Сомали;21.05.2020;1594;204;61;21;16;0
ОАЭ;28.01.2020;0;0;0;0;0;0
Панама;23.10.2020;127866;103985;2622;639;587;10
Канада;13.04.2020;28763;7758;1225;1797;635;130
Мальдивы;12.06.2020;2003;1193;8;27;40;0
Индонезия;15.11.2020;467113;391991;15211;4106;3897;63
Шри-Ланка;30.12.2020;42702;34623;199;646;698;4
Турция;31.10.2020;375367;323971;10252;2213;1506;75
Фиджи;06.02.2020;0;0;0;0;0;0
Мальта;12.07.2020;674;660;9;0;2;0
Албания;28.01.2020;0;0;0;0;0;0
Эфиопия;28.01.2020;0;0;0;0;0;0
Великобритания;19.05.2020;236862;1099;34546;3063;9;500
Палау;23.12.2020;0;0;0;0;0;0
Швеция;19.09.2020;88237;0;5865;0;0;0
Австралия;15.05.2020;7035;6359;98;16;25;0
Венесуэла;27.09.2020;72691;62427;606;751;899;6
Папский Престол;03.12.2020;27;15;0;0;0;0
Алжир;06.02.2020;0;0;0;0;0;0
Нигерия;18.08.2020;49895;37051;981;410;217;4
Соломоновы острова;17.11.2020;16;5;0;0;0;0
Уругвай;28.11.2020;5511;4185;75;208;78;1
Малави;29.05.2020;273;42;4;70;5;0
Норвегия;25.12.2020;46248;17998;421;317;0;0
США;28.12.2020;19455471;"";339141;173355;"";1872
Сейшельские острова;21.10.2020;148;148;0;0;0;0
Ямайка;19.03.2020;15;2;1;2;0;1
Монголия;21.08.2020;298;288;0;0;5;0
Эквадор;09.07.2020;64221;29184;4900;976;113;27
Италия;02.11.2020;731588;296017;39059;22253;3637;233
Вануату;28.02.2020;0;0;0;0;0;0
Либерия;13.03.2020;0;0;0;0;0;0
Джибути;13.07.2020;4977;4729;56;5;17;0
Гренада;16.08.2020;24;23;0;0;0;0
Гамбия;27.07.2020;326;66;8;49;6;2
Киргизия;13.12.2020;77356;70450;1312;297;656;5
Тонга;18.06.2020;0;0;0;0;0;0
Камерун;24.08.2020;18762;16540;408;0;0;0
Судан;13.08.2020;12162;6305;792;47;23;6
Бахрейн;18.06.2020;20430;14696;55;469;511;6
Украина;03.05.2020;11913;1548;288;502;50;9
Германия;17.02.2020;16;1;0;0;0;0
Гондурас;29.06.2020;18818;1961;485;736;86;6
Марокко;12.11.2020;276821;226040;4570;6195;4297;64
Парагвай;13.08.2020;8389;5516;97;371;132;4
Эсватини;01.05.2020;106;12;1;6;0;0
Мальдивы;02.12.2020;13070;12001;47;21;33;0
Узбекистан;21.08.2020;38074;33989;260;527;728;8
Иордания;06.07.2020;1167;957;10;3;15;0
Чехия;01.10.2020;74255;34186;678;3492;743;23
Бельгия;20.06.2020;60550;16771;9696;74;20;1
Кувейт;25.05.2020;21967;6621;165;665;504;9
