"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Гамбия;18.01.2021;3933;3697;128;23;5;1
Финляндия;17.04.2021;84247;46000;914;265;0;5
Косово и Метохия;04.01.2021;51965;42637;1344;0;0;0
Израиль;19.10.2021;1319001;"";8021;1243;"";11
Колумбия;01.02.2021;2104506;1954674;54272;9622;16352;289
Ирак;11.09.2021;1947211;"";21445;3086;"";51
Руанда;31.08.2021;87627;"";1089;496;"";6
Эритрея;22.08.2021;6623;"";37;3;"";0
Багамские острова;14.06.2021;12199;11136;237;107;55;1
Болгария;30.12.2021;744298;"";30890;3616;"";71
Румыния;02.09.2021;1101678;"";34617;1470;"";26
Сент-Люсия;28.02.2021;3390;3013;35;34;101;0
Коста-Рика;14.04.2021;225343;196060;3044;0;0;0
Россия;28.05.2021;4986458;4607276;118386;9126;9262;396
Азербайджан;02.11.2021;534748;"";7132;2178;"";31
Чили;17.09.2021;1646403;"";37318;583;"";25
Вьетнам;11.07.2021;30478;9275;119;2008;71;7
Кот-д’Ивуар;28.06.2021;48203;47784;313;11;11;1
США;23.01.2021;25171000;"";422371;178170;"";3537
Чад;03.03.2021;4056;3542;140;57;58;0
Малайзия;19.05.2021;485496;436115;2040;6075;3516;46
Кувейт;11.03.2021;205893;190235;1148;1505;1080;4
Палау;29.11.2021;8;"";0;0;"";0
Сан-Томе и Принсипи;16.09.2021;2984;"";42;91;"";0
Marshall Islands;30.05.2021;4;4;0;0;0;0
Исландия;31.01.2021;6002;5930;29;0;0;0
Бруней;22.10.2021;11672;"";79;130;"";0
Оман;29.05.2021;213784;197080;2303;0;0;0
Кабо-Верде;28.10.2021;38181;"";349;12;"";0
Гана;19.03.2021;89008;84952;713;587;857;8
Республика Конго;14.10.2021;15255;"";219;0;"";0
Кирибати;16.06.2021;2;0;0;0;0;0
Южная Корея;02.09.2021;257110;"";2308;1709;"";5
ДР Конго;17.05.2021;30609;26603;776;47;0;0
Мавритания;06.11.2021;37659;"";801;51;"";0
Южный Судан;30.08.2021;11427;"";120;24;"";0
Словения;28.09.2021;290994;"";4553;1039;"";9
Черногория;24.12.2021;162364;"";2388;420;"";0
Габон;12.04.2021;20971;17762;129;335;306;2
Тринидад и Тобаго;25.10.2021;55798;"";1650;117;"";5
ЮАР;15.09.2021;2869201;"";85468;4667;"";166
Дания;23.09.2021;357571;"";2640;362;"";4
Буркина-Фасо;25.03.2021;12619;12294;145;23;25;0
Перу;06.05.2021;1824457;1773490;170905;5768;6618;705
Папский Престол;25.11.2021;27;"";0;0;"";0
Венгрия;22.07.2021;809016;744714;30020;71;663;1
Намибия;01.08.2021;119285;95913;3057;363;663;13
Норвегия;05.12.2021;284448;"";1093;1530;"";0
Шри-Ланка;21.01.2021;56076;47984;276;887;769;2
Уругвай;22.11.2021;397990;"";6115;149;"";0
Мальта;02.02.2021;18168;15233;270;141;132;1
Эстония;15.03.2021;86086;60007;728;1279;263;9
Кения;23.06.2021;180498;123363;3514;622;313;30
Белиз;23.10.2021;25445;"";473;0;"";0
Египет;29.12.2021;383857;"";21695;854;"";28
Армения;31.05.2021;222670;213208;4438;34;227;6
Австрия;24.05.2021;636528;623668;12847;509;779;9
Ангола;19.11.2021;64997;"";1729;12;"";0
Судно "Diamond Princess";01.03.2021;712;699;13;0;0;0
Западный берег реки Иордан;27.01.2021;156996;146934;1808;603;655;5
Доминиканская Республика;12.10.2021;366711;"";4072;520;"";5
Япония;02.01.2021;242076;196264;3572;3071;2706;31
Латвия;30.08.2021;142400;"";2573;81;"";0
Киргизия;09.12.2021;183810;"";2764;66;"";2
Судно "MS Zaandam";07.03.2021;9;7;2;0;0;0
Папуа — Новая Гвинея;14.08.2021;17806;"";192;0;"";0
Бразилия;21.08.2021;20561273;"";574473;25322;"";611
Таджикистан;06.11.2021;17486;"";125;0;"";0
Северная Македония;04.10.2021;192654;"";6719;176;"";15
Китай;27.07.2021;130631;111686;5635;114;84;1
Хорватия;10.01.2021;219993;210126;4368;646;919;26
Сингапур;11.07.2021;62692;62414;36;8;17;0
Австралия;24.12.2021;291135;"";2188;9855;"";6
Сомали;15.03.2021;9328;4259;379;138;29;12
Бенин;02.06.2021;8082;7893;102;24;0;1
Канада;24.05.2021;1368224;1292891;25262;2373;5106;30
Мадагаскар;09.10.2021;43610;"";960;0;"";0
Замбия;30.09.2021;209046;"";3648;44;"";0
Иран;14.07.2021;3440400;3069943;86391;23371;13783;184
Андорра;31.08.2021;15033;"";130;1;"";0
Босния и Герцеговина;05.10.2021;237750;"";10773;733;"";47
Гватемала;28.05.2021;252929;231594;8094;1593;712;24
Экваториальная Гвинея;04.07.2021;8759;8553;122;0;0;0
Мавритания;05.12.2021;39558;"";840;48;"";2
Сент-Винсент и Гренадины;05.08.2021;2298;"";12;0;"";0
Мальдивы;26.11.2021;91274;"";248;152;"";0
Тунис;10.03.2021;239368;205719;8292;755;543;24
Боливия;05.10.2021;502047;"";18770;431;"";4
Либерия;24.01.2021;1914;1714;84;0;0;0
Вануату;18.01.2021;1;1;0;0;0;0
Черногория;16.09.2021;124485;"";1822;730;"";4
Великобритания;17.03.2021;4287993;12053;126068;5793;40;141
Молдавия;02.06.2021;255285;247716;6120;44;107;6
Афганистан;09.07.2021;131586;79446;5561;1473;925;84
ЦАР;05.09.2021;11296;"";100;0;"";0
Филиппины;23.08.2021;1857646;"";31961;18011;"";151
Мьянма;18.01.2021;134795;118200;2973;477;537;18
Ирландия;29.03.2021;235078;23364;4667;537;0;1
Сенегал;23.08.2021;72015;"";1680;88;"";9
Гвинея;21.04.2021;21666;19004;139;33;13;0
Антигуа и Барбуда;14.09.2021;2304;"";48;7;"";0
Самоа;02.07.2021;3;3;0;0;0;0
Восточный Тимор;13.08.2021;12059;"";29;189;"";0
Бангладеш;05.10.2021;1559452;"";27614;694;"";23
Египет;11.09.2021;292476;"";16860;458;"";13
Сальвадор;18.03.2021;62853;59576;1962;162;0;0
Никарагуа;01.06.2021;5833;4225;186;0;0;0
Мозамбик;03.05.2021;70000;67325;815;16;394;0
Ангола;21.10.2021;63567;"";1685;227;"";3
Греция;24.03.2021;245405;93764;7649;3058;0;67
Индия;11.12.2021;34690510;"";475434;7877;"";562
Аргентина;06.05.2021;3095582;2757230;66263;24086;22765;398
Пакистан;18.10.2021;1265650;"";28300;603;"";20
Сан-Марино;22.05.2021;5089;4974;90;0;0;0
Того;04.02.2021;5290;4418;79;66;38;0
Саудовская Аравия;13.05.2021;430505;414139;7122;1116;1129;11
Непал;13.06.2021;608472;531105;8412;1694;3994;46
Украина;20.12.2021;3788209;"";99153;2814;"";181
Гаити;19.04.2021;12918;11791;251;0;0;0
Ливия;21.06.2021;191038;176450;3178;290;233;4
Новая Зеландия;24.02.2021;2368;2277;28;3;0;0
Нигер;18.02.2021;4718;4215;170;3;22;0
Лихтенштейн;04.09.2021;3434;"";58;8;"";0
Суринам;06.03.2021;8971;8464;175;5;8;0
Йемен;07.06.2021;6812;3588;1336;25;17;7
Ботсвана;13.06.2021;59480;55617;896;0;0;0
Тонга;24.11.2021;1;"";0;0;"";0
Бахрейн;24.11.2021;277481;"";1394;37;"";0
Катар;24.09.2021;236123;"";604;107;"";0
Бурунди;19.03.2021;2563;773;3;21;0;0
Бруней;18.11.2021;14399;"";96;21;"";0
Ливан;09.04.2021;491928;398699;6592;2500;3438;43
Зимбабве;22.05.2021;38679;36445;1586;15;10;0
Узбекистан;09.01.2021;77530;75947;616;45;72;0
Португалия;02.10.2021;1070665;"";17986;690;"";7
Малави;07.03.2021;32442;22373;1069;44;441;2
Сирия;03.09.2021;28303;"";2029;129;"";6
Беларусь;22.10.2021;582111;"";4482;2082;"";16
Ямайка;15.05.2021;47233;23013;843;83;118;5
Литва;10.07.2021;279550;268140;4398;76;38;1
Куба;23.07.2021;316383;276689;2203;7784;5932;66
Швейцария;03.09.2021;785696;"";10918;0;"";7
Западный берег реки Иордан;01.01.2021;139223;118926;1418;1219;1743;18
Судно "Diamond Princess";03.02.2021;712;699;13;0;0;0
Марокко;18.12.2021;952628;"";14808;230;"";4
Доминиканская Республика;07.11.2021;388165;"";4150;896;"";0
Белиз;29.10.2021;26798;"";491;173;"";0
Кения;17.06.2021;177282;122018;3434;660;812;6
Австрия;14.05.2021;630002;612523;12736;997;1269;26
Армения;05.05.2021;217900;201559;4178;493;452;13
Греция;23.11.2021;894555;"";17517;8348;"";92
Китай;17.07.2021;129720;111003;5612;56;103;1
Северная Македония;12.09.2021;183523;"";6259;464;"";23
Таджикистан;15.10.2021;17484;"";125;0;"";0
Латвия;11.05.2021;124960;113430;2217;659;216;4
Хорватия;20.01.2021;226550;218358;4711;902;478;27
Папуа — Новая Гвинея;09.09.2021;18339;"";194;327;"";2
Киргизия;13.11.2021;182267;"";2702;70;"";3
Судно "MS Zaandam";02.04.2021;9;7;2;0;0;0
Бразилия;31.08.2021;20785196;"";580764;26846;"";881
Гвинея;29.12.2021;31412;"";389;174;"";0
