"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Габон;22.04.2021;22228;18908;136;0;0;0
Мавритания;12.03.2021;17410;16752;442;16;8;0
Словения;18.09.2021;282935;"";4494;1248;"";2
Буркина-Фасо;15.03.2021;12378;11974;144;6;9;0
Дания;03.10.2021;361839;"";2665;382;"";0
ЮАР;11.10.2021;2912346;"";88346;201;"";29
Тринидад и Тобаго;04.11.2021;58441;"";1739;335;"";10
Республика Конго;05.11.2021;17944;"";297;0;"";0
Южная Корея;11.08.2021;218192;"";2138;1986;"";3
Великобритания;02.12.2021;10386944;"";145728;53492;"";142
Гана;13.03.2021;87480;82807;679;743;1508;23
Южный Судан;24.08.2021;11314;"";120;4;"";0
ДР Конго;27.05.2021;31279;27649;781;31;25;1
Кирибати;22.06.2021;2;0;0;0;0;0
Уругвай;02.12.2021;400275;"";6132;309;"";1
Сомали;30.11.2021;23016;"";1327;0;"";0
Норвегия;25.11.2021;254367;"";1050;2970;"";1
Эстония;25.03.2021;100437;71376;836;1429;463;13
Соломоновы острова;21.12.2021;20;"";0;0;"";0
Папский Престол;05.12.2021;27;"";0;0;"";0
Перу;01.06.2021;1955469;1905433;184021;0;0;238
Намибия;10.07.2021;104099;76871;1911;1726;769;28
Венгрия;28.07.2021;809362;746981;30025;74;762;4
Палау;23.11.2021;8;"";0;0;"";0
Сан-Томе и Принсипи;08.10.2021;3613;"";56;13;"";1
Исландия;22.02.2021;6049;5995;29;4;6;0
Marshall Islands;08.05.2021;4;4;0;0;0;0
Чили;09.10.2021;1661370;"";37554;998;"";12
Азербайджан;27.10.2021;522368;"";6966;2300;"";27
Малайзия;25.05.2021;525889;460061;2369;7289;3789;60
Чад;29.03.2021;4510;4110;164;4;1;2
Кувейт;07.11.2021;412844;"";2462;23;"";0
Кот-д’Ивуар;18.06.2021;47973;47346;306;0;0;0
Индонезия;19.12.2021;4260544;"";144002;164;"";4
Вьетнам;02.08.2021;157507;43157;1306;0;0;0
Кабо-Верде;22.10.2021;38098;"";347;0;"";0
Бруней;27.03.2021;206;188;3;0;0;0
Малави;08.12.2021;62053;"";2307;38;"";0
Оман;07.05.2021;199344;181696;2083;0;0;0
Израиль;10.11.2021;1335654;"";8133;470;"";3
Ирак;07.10.2021;2018667;"";22473;2044;"";33
Колумбия;23.02.2021;2233589;2129491;59118;3926;4796;144
Финляндия;23.04.2021;85636;46000;922;256;0;0
Косово и Метохия;26.01.2021;58399;51083;1466;0;0;0
Коста-Рика;20.04.2021;231967;199166;3104;1130;1324;5
Сент-Люсия;02.02.2021;1470;705;16;59;79;1
Руанда;10.05.2021;25714;24155;338;62;2;0
Нидерланды;02.02.2021;1002937;13046;14218;4076;72;83
Россия;13.08.2021;6468890;"";165996;21661;"";795
Румыния;11.08.2021;1085738;"";34331;326;"";8
Багамские острова;24.06.2021;12407;11393;244;0;0;0
Эритрея;01.09.2021;6642;"";38;0;"";0
Португалия;08.04.2021;825633;782895;16899;602;601;9
Сирия;12.08.2021;26205;"";1930;40;"";3
Зимбабве;16.05.2021;38560;36329;1582;6;11;0
Ливан;01.05.2021;527508;464660;7302;930;3538;24
Малави;03.11.2021;61803;"";2302;1;"";0
Ямайка;03.09.2021;69789;"";1585;735;"";17
Беларусь;28.10.2021;594203;"";4580;1979;"";17
Швейцария;12.08.2021;733275;"";10807;2127;"";2
Куба;29.07.2021;366985;320242;2628;8607;8073;68
Литва;01.08.2021;283427;269323;4412;229;14;2
Кувейт;04.12.2021;413464;"";2465;23;"";0
Непал;05.07.2021;646367;611429;9248;1745;2211;23
Саудовская Аравия;23.05.2021;440914;424690;7249;1067;895;12
Лихтенштейн;09.08.2021;3210;"";58;5;"";0
Нигер;12.02.2021;4678;4135;169;13;35;2
Гаити;13.04.2021;12855;11513;251;15;0;-1
Ливия;27.06.2021;192470;177600;3187;341;242;2
Новая Зеландия;29.01.2021;2303;2207;27;-2;-1;0
Эсватини;16.12.2021;57842;"";1255;1642;"";1
Суринам;01.04.2021;9122;8598;177;0;0;0
Сан-Марино;16.05.2021;5087;4968;90;0;0;0
Пакистан;09.11.2021;1278114;"";28566;554;"";8
Того;26.02.2021;6730;5522;82;93;33;0
Бурунди;13.03.2021;2441;773;3;21;0;0
Катар;30.09.2021;236643;"";606;85;"";1
Ботсвана;05.07.2021;73977;68069;1188;2534;1746;30
Йемен;03.07.2021;6926;4087;1361;2;5;0
Бахрейн;30.11.2021;277690;"";1394;62;"";0
Тонга;30.11.2021;1;"";0;0;"";0
Сенегал;29.08.2021;72709;"";1749;91;"";7
Ирландия;03.03.2021;221189;23364;4357;559;0;24
Афганистан;24.06.2021;109532;66799;4452;1575;697;86
Восточный Тимор;08.09.2021;18046;"";86;158;"";1
Антигуа и Барбуда;10.10.2021;3750;"";93;12;"";2
Самоа;06.06.2021;3;3;0;0;0;0
ЦАР;10.08.2021;11195;"";98;4044;"";0
Филиппины;29.08.2021;1954023;"";33109;18323;"";101
Гвинея;11.09.2021;30001;"";365;14;"";2
Египет;21.04.2021;218902;164803;12866;861;435;46
Индия;19.11.2021;34499925;"";465349;10302;"";267
Аргентина;01.06.2021;3817139;3381337;78733;35355;30735;640
Бангладеш;13.09.2021;1532366;"";26972;1953;"";41
Германия;23.01.2021;2122679;1826161;51521;16417;12267;879
Гайана;18.02.2021;8338;7629;189;25;110;0
Ангола;28.03.2021;22063;20289;533;32;20;0
Мозамбик;07.04.2021;68431;58063;785;139;137;0
Сальвадор;12.03.2021;61947;58666;1940;133;226;5
Никарагуа;06.05.2021;5575;4225;183;0;0;0
Греция;17.10.2021;693886;"";15375;1689;"";27
Монако;23.01.2021;1345;1100;9;34;22;0
Сомали;11.11.2021;22837;"";1313;144;"";19
Иран;05.08.2021;4057758;"";92628;38674;"";434
Замбия;10.04.2021;89918;86813;1226;135;1254;0
Бенин;11.05.2021;7995;7652;101;111;0;1
Канада;09.08.2021;1446326;"";26679;2857;"";9
Сингапур;02.08.2021;65213;63033;38;111;76;1
Мадагаскар;17.04.2021;31617;25471;538;578;278;7
Вануату;12.01.2021;1;1;0;0;0;0
Боливия;13.09.2021;495035;"";18587;0;"";0
Молдавия;11.05.2021;252949;243877;5970;151;146;12
Великобритания;09.11.2021;9412197;"";142556;32992;"";263
Гватемала;18.05.2021;242784;223244;7913;1256;1195;20
Андорра;21.08.2021;14988;"";129;0;"";0
Босния и Герцеговина;13.09.2021;222161;"";10065;1525;"";70
Мальдивы;06.12.2021;92368;"";255;157;"";1
Тунис;20.03.2021;245405;212056;8526;629;495;20
Сент-Винсент и Гренадины;14.07.2021;2249;2159;12;4;10;0
Экваториальная Гвинея;12.06.2021;8650;8413;120;10;110;2
Черногория;24.04.2021;96499;92377;1463;151;235;6
Грузия;21.01.2021;251071;238101;2998;1137;1179;11
Барбадос;07.12.2021;26306;"";240;106;"";0
Гондурас;04.01.2021;123398;57348;3181;29;0;1
Испания;14.12.2021;5366128;"";88542;26136;"";58
Коморские острова;14.12.2021;4572;"";151;3;"";0
Коста-Рика;09.11.2021;563290;"";7176;324;"";12
Эритрея;02.07.2021;6051;5634;25;23;75;0
Румыния;21.06.2021;1080282;1045207;32391;26;85;65
Багамские острова;09.09.2021;19139;"";453;104;"";0
Winter Olympics 2022;19.12.2021;0;"";0;0;"";0
Парагвай;24.02.2021;154904;129631;3119;1114;900;18
Korea, North;25.11.2021;0;"";0;0;"";0
Ирак;24.03.2021;809092;727471;14095;6051;4185;29
Япония;19.07.2021;843618;798906;15061;2328;1854;12
Латвия;25.02.2021;84258;73285;1593;813;823;6
Израиль;19.04.2021;837218;828686;6341;171;198;6
Гренада;21.02.2021;148;146;1;0;0;0
Казахстан;01.01.2022;1072999;"";18211;481;"";0
Джибути;18.01.2021;5905;5822;61;0;0;0
Польша;15.10.2021;2933834;"";76067;2770;"";49
Судан;24.02.2021;30236;22823;1876;31;0;0
Финляндия;06.11.2021;164006;"";1292;842;"";11
Панама;13.09.2021;462224;"";7137;214;"";6
Кабо-Верде;10.04.2021;18629;17077;177;0;0;0
Оман;23.07.2021;289042;263752;3498;0;0;0
Эквадор;22.01.2021;237158;199332;14562;969;0;36
Монголия;16.02.2021;2416;1777;2;33;17;0
Marshall Islands;22.07.2021;4;4;0;0;0;0
Венесуэла;07.12.2021;435461;"";5202;543;"";9
Турция;30.04.2021;4820591;4323897;40131;31891;68183;394
Сан-Томе и Принсипи;19.03.2021;2123;1935;34;9;15;0
Кот-д’Ивуар;10.08.2021;51548;"";347;149;"";6
Швеция;13.10.2021;1160465;"";14922;905;"";2
Вьетнам;25.05.2021;5931;2794;44;527;0;0
Чад;02.10.2021;5042;"";174;0;"";0
Малайзия;02.08.2021;1146186;937730;9403;15764;11767;219
Азербайджан;05.04.2021;271834;242293;3711;1099;647;34
Чили;18.03.2021;911469;854827;21988;7257;3673;172
Мальта;19.08.2021;35602;"";435;86;"";2
Нигерия;15.02.2021;146928;123009;1761;744;2171;9
Эстония;06.10.2021;160832;"";1383;1045;"";4
Венгрия;30.05.2021;804382;696029;29728;350;3781;19
Намибия;20.05.2021;51827;48531;739;0;0;0
Перу;30.07.2021;2108595;2075361;196214;0;0;0
Тринидад и Тобаго;29.04.2021;10498;8420;165;328;69;2
Дания;28.03.2021;228705;217281;2415;964;464;1
ЮАР;20.03.2021;1536801;1462110;52082;1378;914;47
Буркина-Фасо;10.09.2021;13906;"";171;34;"";0
Словения;07.03.2021;195468;180366;3891;382;0;3
Габон;11.11.2021;36587;"";262;0;"";0
Кирибати;07.09.2021;2;"";0;0;"";0
Сейшельские острова;13.11.2021;22633;"";122;0;"";0
ДР Конго;04.08.2021;50793;30043;1045;264;0;0
Южный Судан;08.06.2021;10688;10514;115;0;0;0
Италия;24.04.2021;3949517;3369048;119021;13814;17587;322
Гана;16.09.2021;123874;"";1098;0;"";0
Республика Конго;24.04.2021;10084;8208;139;0;0;0
Южная Корея;21.06.2021;151901;143817;2006;395;549;2
Лесото;13.11.2021;21688;"";660;0;"";0
Гамбия;04.08.2021;8392;7310;233;96;188;6
Таджикистан;17.04.2021;13714;13218;91;0;0;0
Северная Македония;17.03.2021;115222;99015;3388;1293;339;24
Китай;09.05.2021;112706;98466;4858;22;27;0
Бразилия;03.07.2021;18748731;16524100;523932;53733;14279;1636
Мали;05.02.2021;8145;6037;336;15;12;3
Мексика;02.01.2021;1443544;1090905;126851;6359;7137;344
Судно "MS Zaandam";28.09.2021;9;"";2;0;"";0
Папуа — Новая Гвинея;24.06.2021;17079;16480;173;0;0;0
Доминиканская Республика;26.04.2021;265403;222174;3459;540;349;5
Руанда;22.02.2021;18199;16992;252;146;189;3
Австрия;12.07.2021;647384;638965;13102;154;76;2
Армения;21.07.2021;227936;218585;4573;220;56;1
Кения;15.08.2021;220727;"";4340;789;"";21
Нидерланды;30.05.2021;1676736;26825;17895;2050;15;6
Белиз;01.05.2021;12668;12218;323;0;0;0
Молдавия;19.07.2021;258007;250957;6227;61;44;1
Чехия;03.12.2021;2211972;"";33450;18683;"";133
Узбекистан;10.07.2021;115478;110759;767;467;382;3
Боливия;16.03.2021;260988;206586;11997;929;958;23
Сент-Винсент и Гренадины;16.05.2021;1937;1772;12;5;3;0
Экваториальная Гвинея;20.08.2021;9049;"";123;39;"";0
Тунис;11.10.2021;709866;"";25039;32;"";11
Андорра;07.06.2021;13777;13557;127;19;30;0
Босния и Герцеговина;16.03.2021;146437;122107;5637;1606;666;53
Гватемала;08.07.2021;311342;274697;9609;3069;1515;36
Гвинея-Бисау;12.01.2021;2478;2400;45;0;0;0
Танзания;26.11.2021;26261;"";730;0;"";0
Иран;22.05.2021;2823887;2319746;78381;8005;14922;187
Сингапур;25.05.2021;61890;61329;32;30;13;0
Micronesia;29.12.2021;1;"";0;0;"";0
Бенин;19.07.2021;8244;8081;107;0;0;0
Алжир;06.02.2021;108629;74330;2909;0;0;0
Аргентина;30.07.2021;4919408;4557037;105586;13483;14133;473
Доминика;15.01.2021;109;101;0;0;0;0
Antarctica;13.12.2021;0;"";0;0;"";0
Мозамбик;21.10.2021;151174;"";1927;17;"";0
Сальвадор;17.09.2021;99701;"";3078;0;"";12
Никарагуа;20.07.2021;7044;4225;193;0;0;0
Лаос;19.11.2021;59895;"";119;1097;"";3
Бангладеш;16.03.2021;560887;514479;8597;1719;1352;26
Антигуа и Барбуда;21.03.2021;1033;685;28;0;0;0
Самоа;22.08.2021;3;"";0;0;"";0
Лесото;27.10.2021;21600;"";657;2;"";0
Восточный Тимор;25.06.2021;8912;8024;20;23;58;0
Сербия;23.04.2021;675904;0;6164;2384;0;34
Ирландия;22.09.2021;379366;"";5209;1429;"";30
Сенегал;01.07.2021;43268;41487;1168;140;58;2
Филиппины;01.07.2021;1418337;1341973;24797;5778;2725;135
ЦАР;18.06.2021;7101;6859;98;0;0;0
Summer Olympics 2020;30.09.2021;865;"";0;0;"";0
Афганистан;12.01.2021;53584;44608;2301;46;471;13
Франция;26.11.2021;7654128;"";119818;34472;"";60
Мьянма;04.08.2021;315118;225849;10695;4051;4962;322
Бурунди;16.09.2021;14189;"";38;0;"";0
Катар;27.03.2021;177135;162555;284;614;382;2
Маврикий;20.12.2021;67001;"";762;1111;"";16
Таиланд;22.11.2021;2071009;"";20436;6428;"";49
Польша;25.11.2021;3434272;"";82186;28143;"";498
Йемен;31.08.2021;7869;"";1472;40;"";3
Ботсвана;25.08.2021;150842;"";2171;0;"";0
Гаити;19.10.2021;23324;"";658;282;"";1
Ливия;02.09.2021;312116;"";4286;1479;"";23
Бутан;16.11.2021;2625;"";3;0;"";0
Суринам;29.09.2021;41419;"";879;430;"";9
Лихтенштейн;19.06.2021;3121;2955;58;2;0;0
Непал;25.08.2021;752863;"";10612;1862;"";44
Саудовская Аравия;08.08.2021;531935;"";8311;0;"";0
Люксембург;04.03.2021;56110;52445;647;208;260;4
Winter Olympics 2022;21.09.2021;0;"";0;0;"";0
Гайана;14.05.2021;14988;12834;335;143;141;2
Пакистан;20.04.2021;772381;672619;16600;5499;5488;147
Korea, North;15.10.2021;0;"";0;0;"";0
Сан-Марино;14.07.2021;5094;5002;90;2;0;0
Албания;01.02.2021;78992;47922;1393;865;498;13
Сент-Китс и Невис;16.01.2021;34;32;0;0;0;0
Эфиопия;01.02.2021;138384;122968;2103;734;106;10
Монако;13.06.2021;2525;2473;33;1;0;0
Литва;26.05.2021;272580;250661;4227;599;1021;9
Швеция;27.11.2021;1198848;"";15145;0;"";0
Куба;29.05.2021;140087;132910;943;1188;1449;10
Швейцария;20.06.2021;701627;317600;10764;0;0;2
Камбоджа;09.12.2021;120312;"";2974;12;"";3
Беларусь;02.05.2021;361063;351816;2562;1081;1383;10
Уганда;02.05.2021;41905;41422;342;0;0;0
Фиджи;06.02.2021;56;53;2;0;0;0
Сирия;20.06.2021;25118;21738;1845;42;11;4
Иордания;25.01.2021;321298;308883;4239;845;1176;15
Панама;27.12.2021;488341;"";7418;574;"";2
Грузия;11.06.2021;352649;337820;5012;695;797;16
Бельгия;09.01.2021;662694;0;20038;1991;0;46
ОАЭ;01.02.2021;306339;281410;859;2730;4452;9
Зимбабве;14.07.2021;76381;49053;2332;3110;951;58
Ливан;29.10.2021;640675;"";8488;680;"";8
Словакия;19.11.2021;1051745;"";13781;10749;"";56
Мексика;28.01.2021;1825519;1376073;155145;18670;13548;1506
Мали;27.02.2021;8365;6402;352;7;47;2
Бразилия;07.06.2021;16994043;15019797;474890;39716;19079;1149
Папуа — Новая Гвинея;14.06.2021;16682;16017;165;0;0;0
Судно "MS Zaandam";18.09.2021;9;"";2;0;"";0
Гамбия;14.06.2021;6016;5822;180;8;9;0
Сербия;23.12.2021;1287202;"";12518;1177;"";30
Китай;04.06.2021;122896;98958;5033;515;12;21
Северная Македония;23.03.2021;120882;102201;3528;1054;727;25
Таджикистан;23.04.2021;13714;13218;91;0;0;0
Камерун;19.12.2021;107662;"";1836;0;"";0
Армения;31.07.2021;230110;219864;4614;243;163;6
Австрия;07.08.2021;657648;"";13158;601;"";5
Белиз;09.04.2021;12485;12106;318;0;0;0
Кения;06.09.2021;240430;"";4795;258;"";9
Россия;08.02.2021;3939162;3434163;75828;15701;15834;398
Нидерланды;19.08.2021;1947560;"";18252;2527;"";10
Доминиканская Республика;16.04.2021;260133;218010;3410;494;397;5
Намибия;26.05.2021;53603;49596;789;171;46;10
Венгрия;08.05.2021;790564;561119;28504;1376;7283;101
Перу;20.07.2021;2096013;2061951;195332;1568;1696;89
Эстония;10.09.2021;145885;"";1309;540;"";2
Южный Судан;30.06.2021;10834;10514;117;0;0;0
ДР Конго;09.07.2021;43694;28601;979;361;31;6
Сейшельские острова;09.12.2021;23806;"";129;56;"";2
Кирибати;16.08.2021;2;"";0;0;"";0
Республика Конго;18.04.2021;10084;8208;139;0;0;0
Южная Корея;27.06.2021;155572;146675;2015;501;335;2
Гана;08.10.2021;128368;"";1158;0;"";0
Буркина-Фасо;06.10.2021;14388;"";195;32;"";4
ЮАР;10.03.2021;1524174;1445979;51015;1477;1697;109
Дания;02.03.2021;212912;203601;2368;532;397;2
Тринидад и Тобаго;03.04.2021;8136;7640;145;20;16;0
Габон;16.10.2021;33442;"";213;0;"";0
Словения;02.04.2021;218114;200422;4063;1175;932;9
Италия;16.09.2021;4623155;"";130167;5115;"";67
Панама;19.04.2021;361044;350835;6189;203;225;1
Оман;29.07.2021;295857;278195;3814;322;563;12
Монголия;06.02.2021;1989;1449;2;61;0;0
Кабо-Верде;02.05.2021;24368;20899;223;241;188;3
Малайзия;11.07.2021;836296;742296;6157;9105;5194;90
Чад;22.09.2021;5030;"";174;1;"";0
Турция;18.09.2021;6820861;"";61361;26161;"";221
Вьетнам;19.05.2021;4720;2687;37;208;0;0
Кот-д’Ивуар;05.09.2021;56855;"";467;120;"";3
Нигерия;09.02.2021;141447;115755;1694;1056;1120;21
Чили;12.03.2021;879485;825311;21451;5973;3941;89
Азербайджан;27.04.2021;315119;282786;4429;1307;2383;27
Уганда;16.12.2021;128369;"";3271;90;"";2
Marshall Islands;28.07.2021;4;4;0;0;0;0
Мальта;30.05.2021;30533;30046;419;4;3;0
Сан-Томе и Принсипи;13.03.2021;2078;1817;32;21;47;0
Швеция;20.03.2021;744272;0;13262;0;0;0
Венесуэла;15.11.2021;420500;"";5034;755;"";8
Багамские острова;14.08.2021;16141;"";311;0;"";0
Румыния;27.06.2021;1080630;1045351;33253;46;0;76
Эритрея;06.06.2021;4427;3894;14;0;0;0
Парагвай;29.01.2021;131886;106883;2694;969;774;12
Гондурас;26.01.2021;142880;60597;3486;896;120;24
Барбадос;15.11.2021;22316;"";194;223;"";1
Испания;18.11.2021;5074027;"";87804;6315;"";29
